Family,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Desulfonatronovibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,26,2,52,8
Desulfonauticaceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,2,7,5
Desulfoplanaceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,6,2
Desulforegulaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,2
Desulfosalsimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,43,10,29,3
Desulfosarcinaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,48,6,73,20
Desulfosudaceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,10,2
Desulfotomaculaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,21,2,77,35
Desulfovibrionaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1781,47,2733,187
Desulfurellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,7,1,29,7
Desulfuribacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,3,3,2,2
Desulfurisporaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,2
Desulfurivibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,159,31,34,1
Desulfurobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,40,7,52,13
Desulfurococcaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,67,16,490,33
Desulfuromonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,19,4,132,28
Dethiobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,36,12,24,5
Dethiosulfovibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,47,3,64,18
Devosiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,228,16,334,125
Dialisteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,341,4,3,1
Dictyoglomaceae,Bacteria,Bacteria,Both,Match,Direct_Name,16,3,23,6
Dissulfuribacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,9,2,2,1
Dissulfurirhabdaceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Dissulfurispiraceae,Bacteria,Bacteria,Both,Match,Direct_Name,74,14,16,3
Dongiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,25,9,98,12
Dysgonomonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,368,16,529,104
Ectothiorhodospiraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,120,6,455,153
Eggerthellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1367,53,2266,119
Egibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,32,16,18,3
Elainellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,52,20,1,1
Elsteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,12,6,1,1
Elusimicrobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,332,4,321,8
Emcibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,70,5,57,8
Endomicrobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,129,13,106,39
Endozoicomonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,49,5,91,54
Enterobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,95395,171,1093115,4021
Enterococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8333,15,47640,477
Erysipelotrichaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2415,61,4024,233
Eubacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,114,9,3644,177
Euzebyaceae,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,23,5
Feifaniaceae,Bacteria,Bacteria,Both,Match,Direct_Name,21,6,6,2
Ferrovaceae,Bacteria,Bacteria,Both,Match,Direct_Name,243,8,240,9
Ferrovibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,22,7,3,1
Fervidicoccaceae,Archaea,Archaea,Both,Match,Direct_Name,13,4,48,3
Fervidobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,60,5,106,30
Fibrobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,286,11,453,58
Filifactoraceae,Bacteria,Bacteria,Both,Match,Direct_Name,36,8,202,15
Fimbriimonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,170,34,154,5
Flammeovirgaceae,Bacteria,Bacteria,Both,Match,Direct_Name,23,6,170,60
Flavobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5291,241,9920,2136
Flexibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,16,6,3,3
Flexistipitaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,6,2
Fontisphaeraceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
