family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Erwiniaceae,Bacteria,2186,1903409,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;91347;1903409
Phyllobacteriaceae,Bacteria,2154,69277,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;69277
Sutterellaceae,Bacteria,2056,995019,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;995019
Odoribacteraceae,Bacteria,1906,1853231,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;1853231
Nitrobacteraceae,Bacteria,1904,41294,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;41294
Brucellaceae,Bacteria,1895,118882,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;118882
Acetobacteraceae,Bacteria,1873,433,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3120395;433
Anaplasmataceae,Bacteria,1864,942,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;766;942
Acutalibacteraceae,Bacteria,1793,3082771,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;3082771
Planctomycetaceae,Bacteria,1735,126,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;112;126
Prochlorococcaceae,Bacteria,1700,2881426,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Prochlorococcaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1890424;2881426
Caulobacteraceae,Bacteria,1679,76892,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204458;76892
Actinomycetaceae,Bacteria,1627,2049,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;2037;2049
Sphingobacteriaceae,Bacteria,1544,84566,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;117747;200666;84566
Metamycoplasmataceae,Bacteria,1524,2895623,cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mycoplasmoidales;Metamycoplasmataceae,cellular root;domain;kingdom;phylum;order;family,131567;2;1783272;544448;2790996;2895623
Saprospiraceae,Bacteria,1441,89374,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Saprospiria;Saprospirales;Saprospiraceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;1937959;1936988;89374
Micromonosporaceae,Bacteria,1426,28056,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85008;28056
Atopobiaceae,Bacteria,1395,1643824,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84998;84999;1643824
Francisellaceae,Bacteria,1373,34064,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;72273;34064
Acidaminococcaceae,Bacteria,1349,909930,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;909932;1843488;909930
Nitrospiraceae,Bacteria,1343,189779,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;40117;203693;189778;189779
Anaerolineaceae,Bacteria,1292,292628,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;292625;292629;292628
Nocardioidaceae,Bacteria,1251,85015,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85009;85015
Methanobacteriaceae,Archaea,1214,2159,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2283794;183925;2158;2159
Leptospiraceae,Bacteria,1210,170,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;1643688;170
Oxalobacteraceae,Bacteria,1177,75682,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;75682
Pectobacteriaceae,Bacteria,1154,1903410,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;91347;1903410
Methylophilaceae,Bacteria,1153,32011,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;32003;32011
Coprobacillaceae,Bacteria,1153,2810280,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;526524;526525;2810280
Gemmatimonadaceae,Bacteria,1142,219687,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;142182;219685;219686;219687
Pseudonocardiaceae,Bacteria,1124,2070,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85010;2070
Fusobacteriaceae,Bacteria,1111,203492,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384189;32066;203490;203491;203492
Selenomonadaceae,Bacteria,1111,1843491,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;909932;909929;1843491
Rhodospirillaceae,Bacteria,1109,41295,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204441;41295
Synechococcaceae,Bacteria,1107,1890426,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Synechococcaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1890424;1890426
Alteromonadaceae,Bacteria,1054,72275,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135622;72275
Shewanellaceae,Bacteria,1015,267890,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135622;267890
Methylococcaceae,Bacteria,1004,403,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135618;403
Halomonadaceae,Bacteria,998,28256,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135619;28256
Solirubrobacteraceae,Bacteria,975,320599,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;588673;320599
