DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_genome_counts
Krischvirus_RB49_species_1985354	7
Cotton_leaf_curl_Kokhran_virus_species_222464	7
Chickpea_chlorosis_virus_species_930965	7
Croton_yellow_vein_mosaic_betasatellite_species_411248	7
Coopervirus_brownCNA_species_1983108	7
Alphatectivirus_PRD1_species_2169700	7
Perisivirus_Pr_species_1984799	7
Ovine_mastadenovirus_A_species_114424	7
Septimatrevirus_kakheti25_species_1921546	7
Audreyjarvisvirus_AM1_species_2845188	7
Tomato_leaf_curl_New_Delhi_virus_species_223347	7
Tanisvirus_tanis_species_2844677	7
Enterovirus_J_species_1330521	7
Lambdavirus_lambda_species_10710	7
Fromanvirus_D29_species_28369	7
Vesicular_exanthema_of_swine_virus_species_35612	7
Enterovirus_F_species_1330520	7
Tomato_yellow_leaf_curl_virus_species_10832	6
Siovirus_americense_species_136084	6
Epizootic_hemorrhagic_disease_virus_species_40054	6
Charlievirus_redi_species_2003505	6
Fromanvirus_packman_species_1034142	6
Etatorquevirus_viver3_species_3052200	6
Venezuelan_equine_encephalitis_virus_species_11036	6
Orthobornavirus_bornaense_species_1714619	6
Chickpea_chlorotic_dwarf_virus_species_463360	6
Tequatrovirus_pyps2t_species_2846680	6
Gemycircularvirus_sp._species_1983771	6
Bongovirus_bongo_species_1983750	6
Bocaparvovirus_primate2_species_3052041	6
Pegunavirus_manad_species_1982929	6
Papyrusvirus_send513_species_1982556	6
Likavirus_izzy_species_1982888	6
Aveparvovirus_galliform1_species_3051983	6
Fernvirus_jacopo_species_2845738	6
Korravirus_korra_species_1982082	6
Korravirus_hunterdalle_species_1982080	6
Demosthenesvirus_katyusha_species_1982108	6
Kapieceevirus_ST512KPC3phi132_species_2956049	6
Fionnbharthvirus_fionnbharth_species_2955891	6
Doupovirus_australiaense_species_2955763	6
Phimunavirus_nobby_species_2733343	6
Tequintavirus_chee24_species_2733981	6
Simplexvirus_papiinealpha2_species_3050336	6
Epseptimavirus_saus132_species_2732020	6
Pifdecavirus_UNOSLW1_species_2733661	6
Kayfunavirus_LM33P1_species_2733641	6
Cyvirus_cyprinidallo2_species_3050270	6
Orthobunyavirus_caraparuense_species_3052387	6
Oslovirus_ov191_species_1981167	6
Anaposvirus_socalone_species_2734083	6
Tunavirus_Sfin1_species_2734026	6
Namakavirus_smbcm6_species_2734120	6
Mastadenovirus_porcustertium_species_3241441	6
Terapinvirus_terapin_species_2734283	6
Murine_leukemia-related_retroviruses_species_99182	6
Varicellovirus_bovinealpha5_species_3050245	6
Mooglevirus_Sf17_species_2560758	6
Lillamyvirus_lillamy_species_2844290	6
Tomato_leaf_curl_Joydebpur_betasatellite_species_436243	6
Orthobunyavirus_schmallenbergense_species_3052437	6
Orthobunyavirus_oropoucheense_species_3052429	6
Tomato_yellow_leaf_curl_Thailand_virus_species_85752	6
Krischvirus_gec3s_species_2560444	6
Upsilonpapillomavirus_1_species_1176150	6
Tequatrovirus_gee9062_species_2844202	6
Pipapillomavirus_2_species_1176145	6
Ascovirus_TnAV2a_species_158684	6
Orthohantavirus_puumalaense_species_3052493	6
Cotton_leaf_curl_Gezira_alphasatellite_species_679536	6
Circovirus_zebrafinch_species_3048458	6
Alphapapillomavirus_14_species_931244	6
Orthomarburgvirus_marburgense_species_3052505	6
Pasivirus_A_species_1511783	6
Orthoflavivirus_kokoberaorum_species_3048168	6
Betapolyomavirus_secuhominis_species_1891763	6
Bovine_rhinitis_B_virus_species_693066	6
Acinetobacter_phage_MD-2021a_species_2899278	6
Tylonycteris_bat_coronavirus_HKU4_species_694007	6
Aquabirnavirus_salmonidae_species_3048153	6
Redondoviridae_sp._species_2809802	6
Rhabdoviridae_sp._species_1955137	6
Begomovirus_agerati_species_188333	6
Phlebovirus_candiruense_species_3052640	6
Cotton_leaf_curl_Alabad_virus_species_222456	6
Tequatrovirus_RB3_species_1914203	6
Human_coronavirus_NL63_species_277944	6
Tomato_leaf_curl_Cameroon_alphasatellite_species_743040	6
Okra_yellow_crinkle_Cameroon_alphasatellite_species_743023	6
Orthopoxvirus_akhmetapox_species_2200830	6
Human_coronavirus_HKU1_species_290028	6
Mungbean_yellow_mosaic_India_virus_species_223287	6
Cynomolgus_cytomegalovirus_species_1919083	6
Litunavirus_Ab09_species_1920765	6
Salmonella_phage_selz_species_2910781	6
Parvovirus_NIH-CQV_species_1341019	6
Tomato_leaf_curl_Palampur_virus_species_526476	6
Fowl_adenovirus_species_1354736	6
Chicken_associated_smacovirus_species_1932006	6
Middle_East_respiratory_syndrome-related_coronavirus_species_1335626	6
Begomovirus_manihotis_species_10817	6
Enquatrovirus_N4_species_10752	6
Orthobunyavirus_bertiogaense_species_3052374	6
Alphapapillomavirus_8_species_333757	5
Eupatorium_yellow_vein_virus_species_2080107	5
Mimivirus-dependent_virus_Sputnik_species_1932927	5
Nankokuvirus_Ab03_species_1925780	5
Enhodamvirus_VP2_species_1922331	5
Fernvirus_shelly_species_1921560	5
Okra_leaf_curl_betasatellite_species_756759	5
Sandfly_fever_Naples_phlebovirus_species_1933189	5
Marine_gokushovirus_species_1385658	5
Megrivirus_C_species_2170006	5
Sida_golden_yellow_vein_virus_species_223317	5
Okra_yellow_crinkle_virus_species_401040	5
Pepper_leaf_curl_Lahore_virus_species_884610	5
Ageratum_leaf_curl_Cameroon_alphasatellite_species_743035	5
Siegesbeckia_yellow_vein_virus-associated_DNA_beta_species_393034	5
Indian_cassava_mosaic_virus_species_31600	5
Pestivirus_scrofae_species_3052624	5
Pegivirus_platyrrhini_species_3052610	5
Tomato_leaf_curl_Taiwan_virus_species_196093	5
Metapneumovirus_avis_species_3047384	5
Tomato_leaf_curl_Sudan_virus_species_270146	5
Dicistroviridae_sp._species_1955144	5
Sugarcane_streak_Egypt_virus_species_71548	5
Tomato_leaf_curl_Karnataka_virus_species_220932	5
Tanay_virus_species_1489714	5
Cyclovirus_kacsa_species_3047812	5
Circovirus_gull_species_3047861	5
Baylorvirus_PHL101_species_376820	5
Pipistrellus_bat_coronavirus_HKU5_species_694008	5
Felixounavirus_wV8_species_1965385	5
Escherichia_virus_vB_Eco_mar005P1_species_2419758	5
Gammapapillomavirus_13_species_1513258	5
Felixounavirus_mushroom_species_1965380	5
Miniopterus_bat_coronavirus_HKU8_species_694001	5
Fibrovirus_fs1_species_70203	5
Gammapapillomavirus_18_species_1513263	5
Adenovirus_sp._species_1967472	5
Seadornavirus_bannaense_species_3240447	5
Orthonairovirus_bushkeyense_species_3052510	5
Orthoflavivirus_zikaense_species_3048459	5
Organic_Lake_phycodnavirus_species_938083	5
Orthohantavirus_dobravaense_species_3052477	5
Stachytarpheta_leaf_curl_virus_species_202568	5
Rabovirus_A_species_1603962	5
Tomato_leaf_curl_Joydebpur_virus_species_309390	5
Ceceduovirus_aszj_species_2843652	5
Radish_leaf_curl_virus_species_435646	5
Gammapapillomavirus_6_species_1175848	5
Erbovirus_A_species_312185	5
Ludwigia_leaf_distortion_betasatellite_species_562747	5
Potyvirus_phaseovulgaris_species_3240595	5
Fipvunavirus_Fpv4_species_2560476	5
Skunavirus_ASCC465_species_1165151	5
Emalynvirus_cozz_species_2560490	5
Orthobunyavirus_turlockense_species_3052452	5
Macavirus_alcelaphinegamma1_species_3050134	5
Pseudocowpox_virus_species_129726	5
Bacteriophage_APSE-7_species_568993	5
Felixounavirus_BPS17W1_species_2560725	5
Flaumdravirus_KIL4_species_2560666	5
Nankokuvirus_G1_species_2560662	5
Jerseyvirus_f18SE_species_1981032	5
Proboscivirus_elephantidbeta1_species_3050273	5
Barfin_flounder_nervous_necrosis_virus_species_43761	5
Samistivirus_peebs_species_2560790	5
Pogseptimavirus_VspSw1_species_2733997	5
Traversvirus_tv933W_species_1981161	5
Orthopneumovirus_muris_species_3050329	5
Roseolovirus_humanbeta6b_species_3050297	5
Yonseivirus_N137_species_2845093	5
Kostyavirus_CJW1_species_205869	5
Ampunavirus_BpAMP1_species_2733589	5
Phikmvvirus_PT5_species_2733361	5
Tinytimothyvirus_alex44_species_2845588	5
Rhadinovirus_macacinegamma5_species_3050315	5
Silviavirus_remus_species_1857890	5
Siniperhavirus_chuatsi_species_2956453	5
Deltainfluenzavirus_influenzae_species_2955744	5
Bernalvirus_bernal13_species_1982102	5
Scutavirus_testudinidalpha3_species_3050360	5
Akonivirus_phedro_species_2845594	5
Tomato_leaf_curl_Joydebpur_virus-India_species_1000675	5
Rocahepevirus_ratti_species_1678145	5
Equine_parapoxvirus_species_1686431	5
Citrus_exocortis_viroid_species_12890	5
Human_immunodeficiency_virus_species_12721	5
Ectromelia_virus_species_12643	5
Aorunvirus_V12_species_2846074	5
Triavirus_P240_species_2846265	5
Tomato_leaf_curl_Philippines_virus_species_96054	5
Avihepevirus_magniiecur_species_1678144	5
Woodruffvirus_TP1604_species_1982746	5
Nahantvirus_49C7_species_2846601	5
Seoulvirus_SPN3US_species_1984796	5
Bocaparvovirus_primate1_species_3052040	5
Phikmvvirus_phiKMV_species_1985732	5
Human_bocavirus_species_329641	5
Alphapapillomavirus_11_species_337049	5
Emesvirus_japonicum_species_329853	5
Tobacco_leaf_curl_Yunnan_virus_species_211866	5
Pedilanthus_leaf_curl_virus_species_619631	5
Wphvirus_megatron_species_1987728	5
Wphvirus_BPS13_species_1987727	5
Mason-Pfizer_monkey_virus_species_11855	5
Lyssavirus_bokeloh_species_1072176	5
Cosavirus_D_species_2003650	5
Gammapapillomavirus_1_species_333926	5
Lambdapapillomavirus_1_species_181667	5
Potato_yellow_mosaic_virus_species_10827	5
Orthobunyavirus_bakauense_species_3052370	5
Mammarenavirus_whitewaterense_species_3052331	5
unidentified_adenovirus_species_10535	4
Culex_negev-like_virus_1_species_2010273	4
Restivirus_RSS1_species_2011075	4
Anayavirus_JAWS_species_1051143	4
Cystovirus_phi6_species_10879	4
Tomato_severe_leaf_curl_virus_species_92963	4
Epsilonpapillomavirus_1_species_40537	4
Betapapillomavirus_5_species_334209	4
Betapapillomavirus_3_species_334207	4
Alphachrysovirus_penicillii_species_2955246	4
Scale_drop_disease_virus_species_1697349	4
Chilli_leaf_curl_India_virus_species_577124	4
Sri_Lankan_cassava_mosaic_virus_species_161378	4
Quang_Binh_virus_species_643132	4
