genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
DSM-9736,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
ZC4RG39,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BOLD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJFTR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CADCWK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPPP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WHUA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA1796,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Govania,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
GWB1-39-12,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASJBI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
2-01-FULL-42-13,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYGJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASKZW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJXVI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PWQF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAASSS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACRMM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPNH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJZEU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYEL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SURF-32,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAQVCR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RGIG4373,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQJG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGKZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHFEI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SZUA-423,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DUPY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANYCD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JL08,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WRLO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACVRM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAQXIO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CADCVW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABUEZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUZPC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DSFO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAESQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGQNU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALNVG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
S016-13,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WRCD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGTL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJCZD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PSRH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIPGO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADZEM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CADCWC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
OFTM49,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHEXM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJJI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGGVT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANXSD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACKHA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA1366,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SIO1A7,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADFOJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANYJL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRYW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
QS-5-68-33,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SCSU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PUNJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUICE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQTF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
AC-64,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASBRR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACDAN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Synchoanobacter,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASGMV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
VFKU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
4572-130,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAITJD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
VGGL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQST01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA1304,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RYN-50,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUXGL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOUBX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAKFXM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACOYD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJFMI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABMSC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQRS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPMF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOZTV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABDFI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACVQI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAMTOO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
TEKIR-12S,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAKQCT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADZEB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPZS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
S143-32,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACMMQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SZUA-1492,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Lokiarchaeum,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHBVL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRUC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DUOH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYEJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGOMX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
AG12,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUWXJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
0-14-0-20-34-12,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGGZX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALYKW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALWWP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANYKD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFCCX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BPKI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAISCI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SLIZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIESQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACVXV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAEDJH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGRAA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHIRY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOAPG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WC36,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHFBR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
FJAT-45350,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAKFWO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAMLTW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RGIG3480,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RBG-16-52-11,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BS750m-G65,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGDG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJVID01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABWAN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGGT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Oleiliquidispirillum,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALURZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACDOJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SIG704,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGIQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRTL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAISIR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Kmv30,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
REDG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGSG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Kutchimonas,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SPBQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALYHF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABFRY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADLEU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CACLRR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DB1,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALCCE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUNSP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIBBV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABDJW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALSID01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CANJKM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYZX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOTYV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUSKC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PWME01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAICLK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CACKTW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPFC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYNI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRTN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Tantalella,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOUSU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRWQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DUMW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
VGJY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIPIY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOVMD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAEZUZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUVVQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALZMG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALHPJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Neptunicella,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PEZQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJJS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUMYL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYFJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CACEW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAMWZD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJFGK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRVJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAMWCT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
ID1734,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAEULF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAJWUJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
OFTM57,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
AG-409-B13,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
J124,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RBG-16-64-32,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUYGA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOVBK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SBBM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SZAS-1,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJKP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUYIT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABDCS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SUG1189,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJSAE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJCXR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUPKU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACRBF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABDMV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
M55B165,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAHGY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PHAE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAFHK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGVXP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SCQL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGTRP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAMYPB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
W111,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Anianabacter,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASBTZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJIP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DYGB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUSIY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQUO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUYKR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALREW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADZAF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOZMN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAISUL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHFSZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASEIG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADLCB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAJXXZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALUUX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUWHS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHEIS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BS750m-G30,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACDCP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
2-12-FULL-43-11,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Fen-1166,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DZAY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYDS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUVIW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CADCSY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOUYT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Aenigmatarchaeum,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAPLYB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PUNK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQRR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAERE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Thiosulfativibrio,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
