genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Kingella,32,152,0.01,0.01,159,159,0,0.03,0.03,0.0,496.88,0.201,4.969,1,0,1,matched
Sphingopyxis,73,369,0.03,0.03,159,159,0,0.03,0.03,0.0,217.81,0.459,2.178,1,0,1,matched
Devosia,143,855,0.05,0.07,157,157,0,0.03,0.03,0.0,109.79,0.911,1.098,1,0,1,matched
Eggerthella,15,104,0.01,0.01,156,156,0,0.03,0.03,0.0,1040.0,0.096,10.4,1,0,1,matched
Proteiniphilum,124,513,0.05,0.04,153,153,0,0.03,0.03,0.0,123.39,0.81,1.234,1,0,1,matched
Hydrogenophaga,80,420,0.03,0.04,151,151,0,0.03,0.03,0.0,188.75,0.53,1.888,1,0,1,matched
Acidaminococcus,28,197,0.01,0.02,151,151,0,0.03,0.03,0.0,539.29,0.185,5.393,1,0,1,matched
Lysobacter,170,846,0.06,0.07,150,150,0,0.03,0.03,0.0,88.24,1.133,0.882,1,0,1,matched
Sulfurovum,631,1805,0.24,0.15,149,149,0,0.03,0.03,0.0,23.61,4.235,0.236,1,0,1,matched
Cyanobium,60,698,0.02,0.06,146,146,0,0.02,0.02,0.0,243.33,0.411,2.433,1,0,1,matched
Butyricicoccus,93,399,0.04,0.03,146,146,0,0.02,0.02,0.0,156.99,0.637,1.57,1,0,1,matched
Aquimarina,34,80,0.01,0.01,145,145,0,0.02,0.02,0.0,426.47,0.234,4.265,1,0,1,matched
Azonexus,13,53,0.0,0.0,144,144,0,0.02,0.02,0.0,1107.69,0.09,11.077,1,0,1,matched
Telluria,2,2,0.0,0.0,143,143,0,0.02,0.02,0.0,7150.0,0.014,71.5,1,0,1,matched
Hymenobacter,230,814,0.09,0.07,143,143,0,0.02,0.02,0.0,62.17,1.608,0.622,1,0,1,matched
Thermococcus,40,322,0.02,0.03,142,142,0,0.02,0.02,0.0,355.0,0.282,3.55,1,0,1,matched
Salinibacter,647,2050,0.25,0.17,142,142,0,0.02,0.02,0.0,21.95,4.556,0.219,1,0,1,matched
Roseovarius,112,547,0.04,0.05,140,140,0,0.02,0.02,0.0,125.0,0.8,1.25,1,0,1,matched
Halorubrum,132,645,0.05,0.05,139,139,0,0.02,0.02,0.0,105.3,0.95,1.053,1,0,1,matched
Pseudoxanthomonas,57,352,0.02,0.03,139,139,0,0.02,0.02,0.0,243.86,0.41,2.439,1,0,1,matched
Capnocytophaga,160,917,0.06,0.08,139,139,0,0.02,0.02,0.0,86.88,1.151,0.869,1,0,1,matched
Luteolibacter,221,1928,0.08,0.16,138,138,0,0.02,0.02,0.0,62.44,1.601,0.624,1,0,1,matched
Halomonas,470,2049,0.18,0.17,137,137,0,0.02,0.02,0.0,29.15,3.431,0.291,1,0,1,matched
Flagellimonas,8,19,0.0,0.0,137,137,0,0.02,0.02,0.0,1712.5,0.058,17.125,1,0,1,matched
Gluconobacter,12,156,0.0,0.01,136,136,0,0.02,0.02,0.0,1133.33,0.088,11.333,1,0,1,matched
Methanocorpusculum,25,149,0.01,0.01,135,135,0,0.02,0.02,0.0,540.0,0.185,5.4,1,0,1,matched
Thermus,77,852,0.03,0.07,134,134,0,0.02,0.02,0.0,174.03,0.575,1.74,1,0,1,matched
Selenomonas,164,811,0.06,0.07,132,132,0,0.02,0.02,0.0,80.49,1.242,0.805,1,0,1,matched
Bosea,53,286,0.02,0.02,131,131,0,0.02,0.02,0.0,247.17,0.405,2.472,1,0,1,matched
Anaerococcus,153,563,0.06,0.05,131,131,0,0.02,0.02,0.0,85.62,1.168,0.856,1,0,1,matched
Caballeronia,11,230,0.0,0.02,131,131,0,0.02,0.02,0.0,1190.91,0.084,11.909,1,0,1,matched
Paraclostridium,21,84,0.01,0.01,127,127,0,0.02,0.02,0.0,604.76,0.165,6.048,1,0,1,matched
Macrococcus,13,75,0.0,0.01,127,127,0,0.02,0.02,0.0,976.92,0.102,9.769,1,0,1,matched
Succiniclasticum,102,258,0.04,0.02,126,126,0,0.02,0.02,0.0,123.53,0.81,1.235,1,0,1,matched
Methanoculleus,72,370,0.03,0.03,125,125,0,0.02,0.02,0.0,173.61,0.576,1.736,1,0,1,matched
Tetragenococcus,6,53,0.0,0.0,125,125,0,0.02,0.02,0.0,2083.33,0.048,20.833,1,0,1,matched
Maribacter,58,220,0.02,0.02,124,124,0,0.02,0.02,0.0,213.79,0.468,2.138,1,0,1,matched
Caulobacter,75,656,0.03,0.05,123,123,0,0.02,0.02,0.0,164.0,0.61,1.64,1,0,1,matched
Janthinobacterium,76,363,0.03,0.03,123,123,0,0.02,0.02,0.0,161.84,0.618,1.618,1,0,1,matched
Cryobacterium,12,163,0.0,0.01,123,123,0,0.02,0.02,0.0,1025.0,0.098,10.25,1,0,1,matched
Snodgrassella,3,35,0.0,0.0,123,123,0,0.02,0.02,0.0,4100.0,0.024,41.0,1,0,1,matched
Rikenella,38,45,0.01,0.0,122,122,0,0.02,0.02,0.0,321.05,0.311,3.211,1,0,1,matched
Aliivibrio,13,117,0.0,0.01,122,122,0,0.02,0.02,0.0,938.46,0.107,9.385,1,0,1,matched
Xenorhabdus,36,157,0.01,0.01,121,121,0,0.02,0.02,0.0,336.11,0.298,3.361,1,0,1,matched
Algoriphagus,111,1310,0.04,0.11,120,120,0,0.02,0.02,0.0,108.11,0.925,1.081,1,0,1,matched
Hyphomonas,54,472,0.02,0.04,120,120,0,0.02,0.02,0.0,222.22,0.45,2.222,1,0,1,matched
Propionibacterium,22,258,0.01,0.02,120,120,0,0.02,0.02,0.0,545.45,0.183,5.455,1,0,1,matched
Geobacillus,99,791,0.04,0.07,120,120,0,0.02,0.02,0.0,121.21,0.825,1.212,1,0,1,matched
Eisenbergiella,43,63,0.02,0.01,120,120,0,0.02,0.02,0.0,279.07,0.358,2.791,1,0,1,matched
Peptoniphilus,105,239,0.04,0.02,117,117,0,0.02,0.02,0.0,111.43,0.897,1.114,1,0,1,matched
Thiobacillus,136,664,0.05,0.06,117,117,0,0.02,0.02,0.0,86.03,1.162,0.86,1,0,1,matched
Microcoleus,28,108,0.01,0.01,116,116,0,0.02,0.02,0.0,414.29,0.241,4.143,1,0,1,matched
Hafnia,6,186,0.0,0.02,115,115,0,0.02,0.02,0.0,1916.67,0.052,19.167,1,0,1,matched
Catenibacterium,87,232,0.03,0.02,114,114,0,0.02,0.02,0.0,131.03,0.763,1.31,1,0,1,matched
Ensifer,41,65,0.02,0.01,114,114,0,0.02,0.02,0.0,278.05,0.36,2.78,1,0,1,matched
Aquabacterium,107,486,0.04,0.04,112,112,0,0.02,0.02,0.0,104.67,0.955,1.047,1,0,1,matched
Nostoc,73,389,0.03,0.03,112,112,0,0.02,0.02,0.0,153.42,0.652,1.534,1,0,1,matched
Edwardsiella,9,176,0.0,0.01,112,112,0,0.02,0.02,0.0,1244.44,0.08,12.444,1,0,1,matched
Companilactobacillus,5,8,0.0,0.0,112,112,0,0.02,0.02,0.0,2240.0,0.045,22.4,1,0,1,matched
Sulfobacillus,45,92,0.02,0.01,112,112,0,0.02,0.02,0.0,248.89,0.402,2.489,1,0,1,matched
Dolichospermum,12,151,0.0,0.01,111,111,0,0.02,0.02,0.0,925.0,0.108,9.25,1,0,1,matched
Megamonas,47,185,0.02,0.02,111,111,0,0.02,0.02,0.0,236.17,0.423,2.362,1,0,1,matched
Rhodanobacter,106,987,0.04,0.08,110,110,0,0.02,0.02,0.0,103.77,0.964,1.038,1,0,1,matched
Azospirillum,128,893,0.05,0.07,110,110,0,0.02,0.02,0.0,85.94,1.164,0.859,1,0,1,matched
Mailhella,8,28,0.0,0.0,109,109,0,0.02,0.02,0.0,1362.5,0.073,13.625,1,0,1,matched
Pseudonocardia,191,855,0.07,0.07,109,109,0,0.02,0.02,0.0,57.07,1.752,0.571,1,0,1,matched
Carnobacterium,30,296,0.01,0.02,108,108,0,0.02,0.02,0.0,360.0,0.278,3.6,1,0,1,matched
Sphingorhabdus,39,730,0.01,0.06,108,108,0,0.02,0.02,0.0,276.92,0.361,2.769,0,1,1,matched
Ferrovum,29,155,0.01,0.01,108,108,0,0.02,0.02,0.0,372.41,0.269,3.724,1,0,1,matched
Leptospirillum,110,418,0.04,0.03,108,108,0,0.02,0.02,0.0,98.18,1.019,0.982,1,0,1,matched
Negativibacillus,40,143,0.02,0.01,107,107,0,0.02,0.02,0.0,267.5,0.374,2.675,1,0,1,matched
Dietzia,40,187,0.02,0.02,107,107,0,0.02,0.02,0.0,267.5,0.374,2.675,1,0,1,matched
Winogradskyella,72,215,0.03,0.02,107,107,0,0.02,0.02,0.0,148.61,0.673,1.486,1,0,1,matched
