family,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Desulfurobacteriaceae,27,99,0.01,0.01,40,40,0,0.01,0.01,0.0,0.675,1.481,1,0,1,matched,
Thermoanaerobaculaceae,708,2663,0.27,0.22,40,40,0,0.01,0.01,0.0,17.7,0.056,1,0,1,matched,
Thermoproteaceae,112,510,0.04,0.04,40,40,0,0.01,0.01,0.0,2.8,0.357,1,0,1,matched,
Arenicellaceae,199,690,0.08,0.06,40,40,0,0.01,0.01,0.0,4.975,0.201,1,0,1,matched,
Kribbellaceae,33,294,0.01,0.02,39,39,0,0.01,0.01,0.0,0.846,1.182,1,0,1,matched,
Sulfuricellaceae,56,236,0.02,0.02,39,39,0,0.01,0.01,0.0,1.436,0.696,1,0,1,matched,
Nautiliaceae,95,584,0.04,0.05,39,39,0,0.01,0.01,0.0,2.436,0.411,1,0,1,matched,
Thermomicrobiaceae,11,130,0.0,0.01,38,38,0,0.01,0.01,0.0,0.289,3.455,1,0,1,matched,
Tepidanaerobacteraceae,32,108,0.01,0.01,38,38,0,0.01,0.01,0.0,0.842,1.188,1,0,1,matched,
Desulfomicrobiaceae,46,410,0.02,0.03,38,38,0,0.01,0.01,0.0,1.211,0.826,1,0,1,matched,
Beutenbergiaceae,9,24,0.0,0.0,38,38,0,0.01,0.01,0.0,0.237,4.222,1,0,1,matched,
Caldisericaceae,42,404,0.02,0.03,37,37,0,0.01,0.01,0.0,1.135,0.881,1,0,1,matched,
Halanaerobiaceae,122,535,0.05,0.04,37,37,0,0.01,0.01,0.0,3.297,0.303,1,0,1,matched,
Kaistiaceae,96,352,0.04,0.03,36,36,0,0.01,0.01,0.0,2.667,0.375,1,0,1,matched,
Nitratiruptoraceae,28,46,0.01,0.0,35,35,0,0.01,0.01,0.0,0.8,1.25,1,0,1,matched,
Xenococcaceae,25,74,0.01,0.01,35,35,0,0.01,0.01,0.0,0.714,1.4,1,0,1,matched,
