genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Bacillariophyta_XXX_sp.:plas.Chloroplast,27,116,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Methanomethylicia.U.genus,27,244,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Reclinomonas_americana_ATCC_50284.Mitochondria,22,50,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Aspergillus_tubingensis.Mitochondria,23,153,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halothiobacillaceae.U.genus,23,59,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Rubidimonas,23,51,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Terrimicrobiaceae.U.genus,23,258,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acidiferrobacteraceae.U.genus,23,56,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tetraselmis_sp._GSL018.Mitochondria,23,69,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chlorella_heliozoae.Mitochondria,23,154,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thiovirga,23,107,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanosarcinaceae.U.genus,24,64,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thioreductor,24,55,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methyloparacoccus,24,262,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Polyangiaceae.U.genus,24,110,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Asparagopsis_taxiformis.Mitochondria,24,79,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Monodopsis_sp._MarTras21.Mitochondria,29,52,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Verticillium_nonalfalfae.Mitochondria,30,102,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Eutreptia_viridis:plas.Chloroplast,24,68,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cytophagaceae.U.genus,25,63,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Lactobacillales.U.genus,25,54,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pterocladia_mexicana.Mitochondria,25,93,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gracilaria_changii.Mitochondria,25,60,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Lecanicillium_saksenae.Mitochondria,25,68,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Helicobacteraceae.U.genus,26,62,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Immundisolibacteraceae.U.genus,26,40,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfoconvexum,26,94,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Alterococcus,26,49,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Oscillatoriales.U.genus,26,93,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Monomorphina_sp.:plas.Chloroplast,27,164,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pseudanabaenaceae.U.genus,27,67,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Limnochordales.U.genus,27,47,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Barnesiellaceae.U.genus,32,79,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Phaeophyceae_XXX_sp.:plas.Chloroplast,32,84,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Reclinomonas_americana.Mitochondria,27,149,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tolypocladium_ophioglossoides.Mitochondria,28,124,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tepidisphaeraceae.U.genus,28,99,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nocardioidaceae.U.genus,28,99,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Planococcaceae.U.genus,28,56,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chondrus_crispus_(carragheen).Mitochondria,28,104,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Vibrionaceae.U.genus,28,34,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nephroselmis_olivacea.Mitochondria,28,140,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Archaeoglobaceae.U.genus,28,124,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Crocinitomicaceae.U.genus,29,89,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Colwelliaceae.U.genus,29,67,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Myxococcales.U.genus,29,125,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gracilaria_vermiculophylla.Mitochondria,29,136,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Grateloupia_filicina.Mitochondria,29,86,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dissulfuribacteraceae.U.genus,35,147,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Talaromyces_piceae.Mitochondria,35,138,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nostocaceae.U.genus,30,84,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ercella,30,116,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ferritrophicum,30,103,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanomicrobiales.U.genus,30,676,0.01,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Archaea.U.genus,30,87,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pyropia_perforata.Mitochondria,30,157,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfurococcales.U.genus,30,77,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoplasmataceae.U.genus,31,74,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Petrotogaceae.U.genus,31,373,0.01,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sclerospora_graminicola.Mitochondria,31,128,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Schimmelmannia_schousboei.Mitochondria,31,121,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Francisellaceae.U.genus,31,63,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Hafniaceae.U.genus,31,128,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Brachyspirales.U.genus,32,77,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanomicrobiaceae.U.genus,39,191,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pyronema_omphalodes.Mitochondria,39,136,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chrysophyceae_XXX_sp.:plas.Chloroplast,32,147,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Coriobacteriaceae.U.genus,33,82,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Grateloupia_angusta.Mitochondria,33,157,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Grateloupia_lanceola.Mitochondria,33,79,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Succinivibrionaceae.U.genus,33,98,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cladophialophora_bantiana.Mitochondria,34,155,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Asteroleplasma,34,147,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Korarchaeota.U.genus,34,184,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoactinomycetaceae.U.genus,34,71,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoanaerobacterales.U.genus,34,126,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cairneyella_variabilis.Mitochondria,34,245,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Reyranellaceae.U.genus,34,142,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halobacteriaceae.U.genus,35,129,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Saccharospirillaceae.U.genus,35,105,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Alcaligenaceae.U.genus,43,452,0.02,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Piscirickettsiaceae.U.genus,44,96,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Parvibaculaceae.U.genus,35,260,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halobacteroidaceae.U.genus,35,51,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoleophilia.U.genus,35,185,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Kordiimonadales.U.genus,35,205,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Hyphomicrobiaceae.U.genus,36,153,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Neoceratium_horridum:plas.Chloroplast,36,70,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Actinomycetales.U.genus,36,224,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Microgenomates.U.genus,36,133,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfuromonadaceae.U.genus,36,156,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Weeksellaceae.U.genus,37,82,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Guggenheimella,37,70,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermodesulfobacteriaceae.U.genus,37,136,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Lophophytum_mirabile_subsp._bolivianum.Mitochondria,38,71,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Fusarium_solani.Mitochondria,38,109,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Phaeocystis_sp.:plas.Chloroplast,50,185,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Silvanigrellaceae.U.genus,50,249,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tannerellaceae.U.genus,40,56,0.02,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Deferribacteraceae.U.genus,40,91,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Syntrophobacteraceae.U.genus,40,151,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
uncultured_phototrophic_eukaryote.Chloroplast,40,127,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Fimbriimonadales.U.genus,41,92,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Woeseiaceae.U.genus,41,185,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Actinomycetaceae.U.genus,41,117,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Veillonellaceae.U.genus,41,176,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dinobryon_sp._LO226KS.Chloroplast,42,189,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Paenibacillaceae.U.genus,42,76,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Riquetophycus_sp._HSY-2014a.Mitochondria,42,200,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Kazania.U.genus,42,88,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tetrasphaera,43,276,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanomassiliicoccaceae.U.genus,43,471,0.02,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitzschia_sp._NIES-3576.Mitochondria,54,305,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ardenticatenaceae.U.genus,55,102,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pseudogymnoascus_sp._VKM_F-3808.Mitochondria,45,183,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Syntrophococcus,45,88,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Fermentibacteraceae.U.genus,45,327,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Talaromyces_marneffei.Mitochondria,45,408,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
uncultured.U.genus,45,117,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Brocadiaceae.U.genus,45,179,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halomonadaceae.U.genus,46,175,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pseudogymnoascus_pannorum.Mitochondria,47,161,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acidaminococcaceae.U.genus,47,135,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gloeochaete_wittrockiana.Mitochondria,48,201,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sphagnum_palustre.Mitochondria,48,114,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pasteurellaceae.U.genus,49,122,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chromatiaceae.U.genus,49,175,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Seculamonas_ecuadoriensis.Mitochondria,49,248,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acidithiobacillaceae.U.genus,59,166,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Solirubrobacteraceae.U.genus,59,878,0.02,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gracilibacteraceae.U.genus,51,53,0.02,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Alteromonadaceae.U.genus,51,283,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Grateloupia_catenata.Mitochondria,51,201,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Malawimonas_californiana.Mitochondria,51,166,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Phlyctis_boliviensis.Mitochondria,51,178,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
metagenome.Chloroplast,51,229,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Rhodanobacteraceae.U.genus,52,223,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Mycoplasmataceae.U.genus,52,158,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Stenotrophobacter,52,220,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Macropereiopus_parvus.Mitochondria,52,225,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Salinivirgaceae.U.genus,54,138,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dermatophilaceae.U.genus,54,78,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nannocystaceae.U.genus,54,134,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Deltaproteobacteria.U.genus,54,360,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Schekmanbacteria.U.genus,65,144,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Aspergillus_terreus.Mitochondria,65,259,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Syntrophobacterales.U.genus,55,395,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitzschia_sp._PL3-2.Mitochondria,55,249,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pythium_insidiosum.Mitochondria,55,222,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Leptographium_lundbergii.Mitochondria,55,302,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfobacterales.U.genus,56,150,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Calorithrix,56,179,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chlorella_pyrenoidosa.Mitochondria,56,211,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Devosiaceae.U.genus,57,138,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitriliruptoraceae.U.genus,57,192,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Caenarcaniphilales.U.genus,57,318,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methylococcaceae.U.genus,57,135,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Legionellaceae.U.genus,57,147,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Fonsecaea_multimorphosa.Mitochondria,57,335,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tundrisphaera,59,214,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Leptotrichiaceae.U.genus,71,193,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Trachelomonas_sp._Bidduk050909G.Chloroplast,72,294,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Plasmopara_viticola.Chloroplast,60,349,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Coriobacteriales.U.genus,61,167,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Campylobacterales.U.genus,61,154,0.02,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chromatiales.U.genus,61,266,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Aurantisolimonas,62,209,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Caldisericales.U.genus,62,532,0.02,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gallionellaceae.U.genus,63,257,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Xanthomonadaceae.U.genus,63,224,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Methanoperedenaceae.U.genus,64,314,0.02,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Thermoplasmatota.U.genus,64,203,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Izimaplasma.U.genus,64,252,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Nanohaloarchaeota.U.genus,65,241,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nicotiana_sylvestris_(wood_tobacco).Chloroplast,65,201,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sphingobacteriaceae.U.genus,65,213,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Heimdallarchaeia.U.genus,83,365,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Micromonosporaceae.U.genus,84,220,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Jakoba_bahamiensis.Mitochondria,65,292,0.02,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Aquibacter,66,168,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Negativicutes.U.genus,66,184,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dehalococcoidales.U.genus,67,205,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfuromonadales.U.genus,67,415,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Eggerthellaceae.U.genus,67,184,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacillaceae.U.genus,68,155,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Selenomonadaceae.U.genus,69,158,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Maritimimonas,70,223,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Roseimarinus,70,150,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Syntrophomonadaceae.U.genus,70,113,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
CPR2.U.genus,70,208,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Candidatus Izemoplasmataceae.U.genus,71,371,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bradymonadaceae.U.genus,71,159,0.03,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cardiobacteriaceae.U.genus,100,285,0.04,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Microbacteriaceae.U.genus,100,1539,0.04,0.13,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
