phylum,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Auribacterota,0,0,0.0,0.0,6,6,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJVIF01,0,0,0.0,0.0,5,5,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAGLTZ01,0,0,0.0,0.0,5,5,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACPWU01,0,0,0.0,0.0,5,5,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAFGBW01,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RUG730,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACRDZ01,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Lithacetigenota,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Muiribacteriota,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Lindowbacteria,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Moduliflexota,0,0,0.0,0.0,4,4,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAKLEM01,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAPLJL01,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Mcinerneyibacteriota,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA8481,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RBG-13-61-14,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Abyssobacteria,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
B130-G9,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CALINM01,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JABMQX01,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP4,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAKKQC01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DYJV01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
4572-55,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAQTZZ01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACPQY01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-2686955,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
2-12-FULL-45-22,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JALSQH01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJYCY01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAGOBX01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAGRBM01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA2233,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
T1Sed10-126,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAUVQV01,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
GCA-001730085,0,0,0.0,0.0,2,2,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DAOVTB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JADJOY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAUXIQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
BS750m-G25,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAMOTN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAFGND01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
J088,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAUXIB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAUYMQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAMORN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAJRZV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAGOEH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACPSX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACRDV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACQOV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JACPUC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
T1SED10-198M,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Heimdallarchaeia,83,365,0.03,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Ignavibacteriota,11,25,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Cyanobacteriota/Melainabacteria.U.phylum,148,488,0.06,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Thermodesulfobacteriota,6209,25872,2.37,2.17,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Patescibacteria,5626,17253,2.14,1.44,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Mitochondria,9617,41965,3.67,3.51,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Chlorobiota,3,4,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Apicoplast,81,203,0.03,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Archaea.U.phylum,30,87,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Bacteria.U.phylum,4221,19550,1.61,1.64,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Euryarchaeota,3600,18821,1.37,1.58,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Chloroplast,3414,15853,1.3,1.33,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Nanoarchaeota,3178,9061,1.21,0.76,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Mycoplasmatota,1523,5996,0.58,0.5,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Nitrososphaerota,1458,10698,0.56,0.9,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Thermomicrobiota,511,1946,0.19,0.16,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Lokiarchaeia,362,1328,0.14,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Abditibacteriota,257,816,0.1,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
Odinarchaeia,169,511,0.06,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,census_only,
