family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Eubacteriales Family XII. Incertae Sedis,0,0,0.0,0.0,19,11,8,0.0,0.01,42.11,,,0,0,0,0,ncbi_only,Bacteria,0.0
Bacillales Family X. Incertae Sedis,0,0,0.0,0.0,18,6,9,0.0,0.01,50.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hippeaceae,0,0,0.0,0.0,17,6,4,0.0,0.01,23.53,,,0,0,0,0,ncbi_only,Bacteria,0.0
Sulfurifustaceae,0,0,0.0,0.0,17,1,5,0.0,0.0,29.41,,,0,0,0,0,ncbi_only,Bacteria,0.0
Dissulfurispiraceae,0,0,0.0,0.0,16,3,1,0.0,0.0,6.25,,,0,0,0,0,ncbi_only,Bacteria,0.0
Intestinicryptomonaceae,0,0,0.0,0.0,16,3,1,0.0,0.0,6.25,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermotaleaceae,0,0,0.0,0.0,16,13,7,0.0,0.02,43.75,,,0,0,0,0,ncbi_only,Bacteria,0.0
Kiritimatiellaceae,0,0,0.0,0.0,15,4,1,0.0,0.01,6.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ketobacteraceae,0,0,0.0,0.0,15,6,2,0.0,0.01,13.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Halorubellaceae,0,0,0.0,0.0,15,10,15,0.0,0.01,100.0,,,0,0,0,0,ncbi_only,Archaea,0.0
Minwuiaceae,0,0,0.0,0.0,15,7,6,0.0,0.01,40.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thermoanaerobacterales Family III. Incertae Sedis,0,0,0.0,0.0,14,3,1,0.0,0.0,7.14,,,0,0,0,0,ncbi_only,Bacteria,0.0
Cymatolegaceae,0,0,0.0,0.0,13,9,8,0.0,0.01,61.54,,,0,0,0,0,ncbi_only,Bacteria,0.0
Fluviibacteraceae,0,0,0.0,0.0,13,2,3,0.0,0.0,23.08,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiohalophilaceae,0,0,0.0,0.0,13,3,1,0.0,0.0,7.69,,,0,0,0,0,ncbi_only,Bacteria,0.0
Atribacteraceae,0,0,0.0,0.0,13,7,1,0.0,0.01,7.69,,,0,0,0,0,ncbi_only,Bacteria,0.0
Caminicellaceae,0,0,0.0,0.0,13,6,5,0.0,0.01,38.46,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aggregatilineaceae,0,0,0.0,0.0,13,3,1,0.0,0.0,7.69,,,0,0,0,0,ncbi_only,Bacteria,0.0
Halothecacae,0,0,0.0,0.0,12,6,3,0.0,0.01,25.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiolinaceae,0,0,0.0,0.0,12,2,1,0.0,0.0,8.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Parvicellaceae,0,0,0.0,0.0,12,3,1,0.0,0.0,8.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Notoacmeibacteraceae,0,0,0.0,0.0,12,7,6,0.0,0.01,50.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Geitlerinemataceae,0,0,0.0,0.0,12,11,7,0.0,0.01,58.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
