DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_genome_counts
Albugo_candida_species_65357	11
Parastagonospora_avenae_species_1351752	11
Elsinoe_australis_species_40998	11
Oryza_barthii_species_65489	10
Fusarium_cf._solani_species_1715230	10
Batrachochytrium_salamandrivorans_species_1357716	10
Drosophila_pseudoobscura_species_7237	10
Spodoptera_frugiperda_species_7108	10
Paramecium_bursaria_species_74790	10
Globisporangium_cryptoirregulare_species_529119	10
Chaetomium_globosum_species_38033	10
Talaromyces_funiculosus_species_28572	10
Drosophila_montana_species_40370	10
Talaromyces_marneffei_species_37727	10
Neurospora_intermedia_species_5142	10
Ophryoscolex_caudatus_species_358021	10
Tilletia_horrida_species_155126	10
Cygnus_atratus_species_8868	10
Saccharomyces_boulardii_nom._inval._species_252598	10
Heterodera_glycines_species_51029	10
Bipolaris_sorokiniana_species_45130	10
Ascochyta_rabiei_species_5454	10
Larimichthys_crocea_species_215358	10
Loxodonta_africana_species_9785	10
Phaseolus_vulgaris_species_3885	10
Alternaria_arborescens_species_156630	10
Ostrinia_nubilalis_species_29057	10
Ochromonas_sp._species_1955567	10
Lycocorax_pyrrhopterus_species_681192	10
Calonectria_pseudonaviculata_species_196064	10
Torulaspora_pretoriensis_species_35629	10
Fusarium_cf._falciforme_species_2778372	10
Aspergillus_cristatus_species_573508	10
Gasterosteus_aculeatus_species_69293	10
Rotaria_sp._Silwood1_species_2762511	10
Babesia_microti_species_5868	10
Setaria_italica_species_4555	10
Plasmodium_vinckei_species_5860	10
Monosporozyma_servazzii_species_27293	10
uncultured_Leotiomyceta_species_909218	10
Neurospora_sp._CHS-2018a_species_2304649	10
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_species_332112	9
Junonia_pacoma_species_2691983	9
Histoplasma_capsulatum_species_5037	9
Bipolaris_gigantea_species_2695822	9
Tilletia_indica_species_43049	9
Blumeria_graminis_species_34373	9
Brassica_rapa_species_3711	9
Ophiocordycipitaceae_sp._species_1907519	9
Naumovozyma_castellii_species_27288	9
Phytophthora_cinnamomi_species_4785	9
Musa_acuminata_species_4641	9
Vandiemenella_viatica_species_431949	9
Penicillium_paneum_species_68879	9
Lichtheimia_ramosa_species_688394	9
Drosophila_nasuta_species_42062	9
Pichia_kluyveri_species_36015	9
Madurella_mycetomatis_species_100816	9
Nannochloropsis_oceanica_species_145522	9
Sporothrix_globosa_species_545651	9
Apis_mellifera_species_7460	9
Drosophila_triauraria_species_67534	9
Helicoverpa_armigera_species_29058	9
Pisum_sativum_species_3888	9
Fusarium_poae_species_36050	9
Metarhizium_anisopliae_species_5530	9
Heterocephalus_glaber_species_10181	9
Saccharomycetales_sp._species_1891166	9
Bathycoccaceae_sp._species_2922361	9
Macrophomina_tecta_species_2811287	9
Pichia_terricola_species_54551	9
Ascochyta_koolunga_species_2654375	9
Fusarium_xylarioides_species_221167	9
Aureobasidium_subglaciale_species_1042127	9
Flammulina_filiformis_species_2060913	9
Pristionchus_pacificus_species_54126	9
Gadus_morhua_species_8049	9
Fusarium_virguliforme_species_232082	9
Drosophila_americana_species_40366	9
Pichia_fermentans_species_53655	9
Meyerozyma_caribbica_species_66948	9
Lasiodiplodia_pseudotheobromae_species_466954	9
Curvie_emesia_species_717267	9
Neurospora_crassa_species_5141	9
Falco_peregrinus_species_8954	9
Rangifer_tarandus_species_9870	9
Aspergillus_unguis_species_40381	9
Saccharomycopsis_fibuligera_species_4944	9
Malassezia_restricta_species_76775	9
Paralichthys_olivaceus_species_8255	9
Alternaria_tenuissima_species_119927	9
Anopheles_stephensi_species_30069	9
Drosophila_subobscura_species_7241	9
Trichoderma_virens_species_29875	9
Ostreococcus_sp._'lucimarinus'_species_242159	9
Hibiscus_sabdariffa_species_183260	9
Ceratocystis_lukuohia_species_2019550	9
Marchantia_polymorpha_species_3197	9
Lipomyces_starkeyi_species_29829	9
Aspergillus_chevalieri_species_182096	8
Tolypocladium_inflatum_species_29910	8
Persea_americana_species_3435	8
Scophthalmus_maximus_species_52904	8
Aspergillus_welwitschiae_species_1341132	8
Cyclaneusma_minus_species_64355	8
Taiwanofungus_camphoratus_species_2696576	8
Aedes_aegypti_species_7159	8
Bos_indicus_x_Bos_taurus_species_30522	8
Didymella_pinodella_species_749633	8
Saccharomyces_bayanus_species_4931	8
Zygosaccharomyces_rouxii_species_4956	8
Olea_europaea_species_4146	8
Phascolarctos_cinereus_species_38626	8
Ceratocystis_fimbriata_species_5158	8
Verticillium_nonalfalfae_species_1051616	8
Carya_illinoinensis_species_32201	8
Vigna_unguiculata_species_3917	8
Maudiozyma_humilis_species_51915	8
Pongo_abelii_species_9601	8
Cryptococcus_gattii_species_37769	8
Aegilops_tauschii_species_37682	8
Drosophila_suzukii_species_28584	8
Neoscytalidium_dimidiatum_species_108428	8
Columba_livia_species_8932	8
Pleurotus_ostreatus_species_5322	8
Pan_paniscus_species_9597	8
Colletotrichum_tofieldiae_species_708197	8
Oncorhynchus_mykiss_species_8022	8
Juglans_regia_species_51240	8
Blastomyces_emzantsi_species_2723674	8
Bathycoccus_sp._species_2812571	8
Trebouxiophyceae_sp._species_2812598	8
Heliconius_hecale_species_33425	8
Citrus_reticulata_species_85571	8
Trichoderma_longibrachiatum_species_5548	8
Cutaneotrichosporon_cutaneum_species_5554	8
Paraphaeosphaeria_minitans_species_565426	8
Melospiza_melodia_species_44397	8
Drosophila_obscura_species_7282	8
Harmonia_axyridis_species_115357	8
Ceratocystis_manginecans_species_929235	8
Phyllosticta_capitalensis_species_121624	8
Pichia_manshurica_species_121235	8
Lodderomyces_elongisporus_species_36914	8
Peronospora_effusa_species_542832	8
Anguilla_japonica_species_7937	8
Rhodotorula_kratochvilovae_species_86836	8
Saccharum_hybrid_cultivar_species_128810	8
Pichia_occidentalis_species_54552	8
Plasmodium_knowlesi_species_5850	8
Acanthamoeba_castellanii_species_5755	8
Naegleria_fowleri_species_5763	8
Polyplastron_multivesiculatum_species_47894	8
