Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Tokophryidae,168137,33,176,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Suctoria;Endogenida;Tokophryidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;37471;39462;163662;168137
Basidiomycota.U.family,5204,32,88,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Basidiomycota.U.family,cellular root;domain;clade;kingdom;subkingdom;phylum;original_name,131567;2759;33154;4751;451864;5204;5204
Filosa-Sarcomonadea.U.family,NA,31,82,Filosa-Sarcomonadea.U.family,original_name,NA
Arcellinida_X,318493,30,151,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida;Arcellinida_X,cellular root;domain;clade;phylum;class;order;original_name,131567;2759;554915;555369;2681632;318493;318493
Bigyra.U.family,2683628,30,244,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Bigyra.U.family,cellular root;domain;clade;clade;class;original_name,131567;2759;2698737;33634;2683628;2683628
Blastocladiomycetes,451460,29,147,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes,cellular root;domain;clade;kingdom;no rank;phylum;class,131567;2759;33154;4751;112252;451459;451460
Perkinsida_X.U.family,27998,29,74,cellular organisms;Eukaryota;Sar;Alveolata;Perkinsozoa;Perkinsea;Perkinsida;Perkinsida_X.U.family,cellular root;domain;clade;clade;phylum;clade;order;original_name,131567;2759;2698737;33630;2497438;27997;27998;27998
Rhizophydiales.U.family,451442,29,107,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophydiales;Rhizophydiales.U.family,cellular root;domain;clade;kingdom;no rank;phylum;no rank;class;order;original_name,131567;2759;33154;4751;112252;4761;2683659;451435;451442;451442
Discosea_X.U.family,555280,28,93,cellular organisms;Eukaryota;Amoebozoa;Discosea;Discosea_X.U.family,cellular root;domain;clade;phylum;original_name,131567;2759;554915;555280;555280
Elardia.U.family,2681632,28,49,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Elardia.U.family,cellular root;domain;clade;phylum;class;original_name,131567;2759;554915;555369;2681632;2681632
Paradinidae,NA,27,43,,,
Zoopagomycota_XX,1913638,27,72,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Zoopagomycota_XX,cellular root;domain;clade;kingdom;no rank;phylum;original_name,131567;2759;33154;4751;112252;1913638;1913638
Rhabdomonadales,86649,26,100,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Spirocuta;Aphagea;Rhabdomonadales,cellular root;domain;clade;phylum;class;clade;clade;order,131567;2759;2611352;33682;3035;2570567;2704112;86649
Tholoniidae,NA,26,77,,,
Dysteriidae,238903,25,115,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Phyllopharyngia;Dysteriida;Dysteriidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;37471;238896;238898;238903
Distigmidae,2704119,24,188,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Spirocuta;Aphagea;Rhabdomonadales;Distigmidae,cellular root;domain;clade;phylum;class;clade;clade;order;family,131567;2759;2611352;33682;3035;2570567;2704112;86649;2704119
Babesiidae,32594,23,158,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae,cellular root;domain;clade;clade;phylum;class;order;family,131567;2759;2698737;33630;5794;422676;5863;32594
Dinoflagellata.U.family,2864,22,28,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Dinoflagellata.U.family,cellular root;domain;clade;clade;class;original_name,131567;2759;2698737;33630;2864;2864
NC12A-lineage,NA,22,45,NC12A-lineage,original_name,NA
Enoplea_X,119088,21,209,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Enoplea_X,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;class;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119088;119088
Glissomonadida.U.family,1238681,21,102,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Glissomonadida;Glissomonadida.U.family,cellular root;domain;clade;clade;phylum;order;original_name,131567;2759;2698737;543769;136419;1238681;1238681
Rhabdocoela,27901,21,58,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Rhabdocoela,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;order,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;147100;27901
