Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Corynebacterium,1716,735,0.28,4516,0.38,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85007;1653;1716
Faecalibacterium,216851,733,0.28,2649,0.22,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;186802;216572;216851
Bacillota.U.genus,1239,724,0.28,2010,0.17,cellular organisms;Bacteria;Bacillati;Bacillota;Bacillota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;1239;1239
Planctomycetales.U.genus,112,713,0.27,3264,0.27,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetales.U.genus,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783257;203682;203683;112;112
Flavobacteriaceae.U.genus,49546,710,0.27,4399,0.37,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;68336;976;117743;200644;49546;49546
Desulfosarcinaceae.U.genus,3031624,696,0.27,2829,0.24,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcinaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;3379134;200940;3024418;213118;3031624;3031624
Bacilli.U.genus,91061,691,0.26,2261,0.19,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacilli.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;1239;91061;91061
Prevotellaceae.U.genus,171552,690,0.26,1785,0.15,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;68336;976;200643;171549;171552;171552
Vibrio,662,684,0.26,4478,0.37,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135623;641;662
Thermoanaerobaculaceae.U.genus,2562242,666,0.25,2345,0.2,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;3379134;57723;1562571;2562241;2562242;2562242
Pyrinomonadaceae.U.genus,2048906,654,0.25,3208,0.27,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonadaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;3379134;57723;1562566;1748771;2048906;2048906
Salinibacter,146918,647,0.25,2050,0.17,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Rhodothermota;Rhodothermia;Rhodothermales;Salinibacteraceae;Salinibacter,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;1853220;1853222;1853224;1853225;146918
Sphingomonas,13687,647,0.25,4097,0.34,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204457;41297;13687
Sulfurovum,265570,631,0.24,1805,0.15,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;29547;3031852;213849;2771472;265570
