DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_genome_counts
COLOR	#ff0000
Cyclobacteriaceae_bacterium_species_2099675	476
Sinorhizobium_meliloti_species_382	476
Faecalibaculum_rodentium_species_1702221	474
Aeromonas_salmonicida_species_645	474
Nitrospira_sp._species_70125	474
Candidatus_Nanopelagicales_bacterium_species_2518612	466
Flavobacterium_psychrophilum_species_96345	466
Vicinamibacterales_bacterium_species_2910147	465
Bryobacterales_bacterium_species_2026791	463
Priestia_megaterium_species_1404	463
Kiritimatiellia_bacterium_species_2212473	460
Mycobacterium_avium_species_1764	458
Borreliella_burgdorferi_species_139	458
uncultured_Blautia_sp._species_765821	456
Thermodesulfobacteriota_bacterium_species_2202153	455
Blautia_wexlerae_species_418240	455
Faecalibacterium_sp._species_1971605	448
Armatimonadota_bacterium_species_2033014	448
Paenibacillus_larvae_species_1464	448
uncultured_Candidatus_Peribacteria_bacterium_species_2501586	446
Riemerella_anatipestifer_species_34085	443
Pelagibacteraceae_bacterium_species_2026775	439
Providencia_stuartii_species_588	439
Staphylococcus_argenteus_species_985002	434
Xanthomonas_euvesicatoria_species_456327	434
Leptospira_interrogans_species_173	430
Vulcanimicrobiota_bacterium_species_3107663	429
Bacillus_licheniformis_species_1402	428
Micrococcus_luteus_species_1270	427
Vibrio_fluvialis_species_676	427
Candidatus_Moraniibacteriota_bacterium_species_2045217	427
Nitrospiraceae_bacterium_species_2026770	423
uncultured_Parabacteroides_sp._species_512312	422
uncultured_Lactobacillus_sp._species_153152	421
Opitutia_bacterium_species_2026771	420
Collinsella_aerofaciens_species_74426	419
Parabacteroides_merdae_species_46503	418
uncultured_Eggerthellaceae_bacterium_species_2321402	416
Anaerolineaceae_bacterium_species_2024896	414
Rhizobium_leguminosarum_species_384	413
Brucella_abortus_species_235	410
Sphingomonadales_bacterium_species_1978525	409
uncultured_Dehalococcoidia_bacterium_species_498747	409
Eggerthellaceae_bacterium_species_1972561	407
Lactobacillus_iners_species_147802	407
uncultured_Faecalibacterium_sp._species_259315	406
Fusicatenibacter_saccharivorans_species_1150298	405
Streptococcus_anginosus_species_1328	404
Candidatus_Gastranaerophilales_bacterium_species_2137880	403
Aliarcobacter_butzleri_species_28197	403
Limosilactobacillus_fermentum_species_1613	403
Chitinophaga_pinensis_species_79329	396
Bacteroides_xylanisolvens_species_371601	394
uncultured_Atopobiaceae_bacterium_species_2321400	393
Elusimicrobiota_bacterium_species_2030800	392
Enterobacter_ludwigii_species_299767	391
uncultured_Angelakisella_sp._species_1935179	389
Leclercia_adecarboxylata_species_83655	388
Candidatus_Cloacimonadota_bacterium_species_2030808	386
Chlamydia_trachomatis_species_813	385
Mycobacterium_sp._species_1785	383
Mediterraneibacter_gnavus_species_33038	382
uncultured_Anaerolineaceae_bacterium_species_310067	382
Acetobacteraceae_bacterium_species_1909293	381
uncultured_Prochlorococcus_sp._species_159733	380
uncultured_Streptococcus_sp._species_83427	379
Porticoccaceae_bacterium_species_2026782	378
Desulfobacteraceae_bacterium_species_2049433	377
Achromobacter_xylosoxidans_species_85698	376
uncultured_Verrucomicrobiae_bacterium_species_412056	376
Vibrio_splendidus_species_29497	374
Lactobacillus_gasseri_species_1596	373
Bacillus_paranthracis_species_2026186	372
Candidatus_Aminicenantes_bacterium_species_2052149	372
uncultured_Methylococcaceae_bacterium_species_181674	371
Citrobacter_braakii_species_57706	371
uncultured_Mycoplasmatota_bacterium_species_658143	371
Bryobacteraceae_bacterium_species_2212468	369
Bacillus_toyonensis_species_155322	369
Rhodocyclaceae_bacterium_species_1898103	367
uncultured_phage_species_278008	367
Enterococcus_lactis_species_357441	366
Terriglobales_bacterium_species_2282142	365
uncultured_Clostridiaceae_bacterium_species_195049	364
Staphylococcus_hominis_species_1290	363
Bacteroides_cellulosilyticus_species_246787	362
Anaerovoracaceae_bacterium_species_3030912	362
Akkermansia_sp._species_1872421	361
Methylophilaceae_bacterium_species_2030816	361
uncultured_Saprospiraceae_bacterium_species_261514	361
Luminiphilus_sp._species_2590574	360
Verrucomicrobiia_bacterium_species_2499141	358
Xanthobacteraceae_bacterium_species_2021379	356
Woeseiaceae_bacterium_species_2026806	356
candidate_division_WOR-3_bacterium_species_2052148	355
Chthoniobacterales_bacterium_species_2201154	355
Ligilactobacillus_salivarius_species_1624	354
