DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Afipia_genus_1033	26
Planococcus_genus_1372	59
Oxalobacter_genus_846	8
Rheinheimera_genus_67575	40
Sulfurospirillum_genus_57665	29
Rossellomorea_genus_2837508	22
Daejeonella_genus_2762385	6
Gordonibacter_genus_644652	14
Hylemonella_genus_232523	7
Desulfotignum_genus_115780	4
Arcobacter_genus_28196	49
Ensifer_genus_106591	67
Chromobacterium_genus_535	29
Syntrophorhabdus_genus_513557	11
Neptunomonas_genus_75687	10
Rodentibacter_genus_1960084	17
Parvibacter_genus_1427376	2
Candidatus Tepidifontimicrobium_genus_3377969	1
Fimbriiglobus_genus_1914234	3
Candidatus Scatocola_genus_2840645	2
Anaplasma_genus_768	10
Haliea_genus_475794	7
Ideonella_genus_36862	18
Oceanicaulis_genus_153232	12
Emergencia_genus_1926556	5
Eikenella_genus_538	19
Negativicoccus_genus_909928	3
Aquipseudomonas_genus_3236652	4
Kitasatospora_genus_2063	288
Hoylesella_genus_2974257	10
Halothiobacillus_genus_109262	16
Lentimicrobium_genus_1840214	5
Crenothrix_genus_200670	4
Leeuwenhoekiella_genus_283735	21
Mucinivorans_genus_1611681	2
Motiliproteus_genus_1775292	5
Ornithinibacter_genus_1191515	2
Pseudooceanicola_genus_1679449	19
Merdibacter_genus_1935200	6
Rhodoglobus_genus_193383	5
Hoeflea_genus_274591	23
Methylophilus_genus_16	28
Pseudolysinimonas_genus_2680005	3
Moellerella_genus_158848	2
Marivita_genus_659428	12
Lentibacter_genus_1434014	4
Methylomonas_genus_416	35
Coprobacter_genus_1348911	5
Ghiorsea_genus_2045304	2
Faecalicoccus_genus_1573536	5
Gordonia_genus_2053	133
Lacrimispora_genus_2719231	18
Pseudarthrobacter_genus_1742993	95
Meiothermus_genus_65551	13
Syntrophomonas_genus_862	45
Citromicrobium_genus_72173	13
Marinobacterium_genus_48075	44
Granulosicoccus_genus_437504	3
Aquirufa_genus_2676247	16
Candidatus Binatus_genus_2767079	2
Tardiphaga_genus_1395974	14
Orientia_genus_69474	2
Methylovirgula_genus_1156568	5
Dysgonomonas_genus_156973	41
Abiotrophia_genus_46123	4
Candidatus Sulfopaludibacter_genus_2136118	4
Nodularia_genus_159191	10
Limimaricola_genus_2211638	9
Dietzia_genus_37914	53
Thiothrix_genus_1030	21
Nocardiopsis_genus_2013	97
Oliverpabstia_genus_2815777	3
Tyzzerella_genus_1506577	9
Sneathiella_genus_510690	12
Neorhizobium_genus_1525371	37
Christiangramia_genus_292691	29
Bauldia_genus_1145345	3
Fluviicola_genus_332102	9
Marinicaulis_genus_2174441	3
Mariniphaga_genus_1573806	4
Janthinobacterium_genus_29580	105
Helcococcus_genus_31983	8
Wohlfahrtiimonas_genus_582472	6
Neglectibacter_genus_1924105	9
Nakamurella_genus_53460	17
Halanaerobium_genus_2330	16
Oscillochloris_genus_104175	5
Melioribacter_genus_1134403	4
Actinotignum_genus_1653174	5
Pseudorhodobacter_genus_238783	10
Desulfocapsa_genus_53318	5
