DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Deltapartitivirus_genus_1511810	14
Macluravirus_genus_156208	15
Lomovskayavirus_genus_308912	3
Spbetavirus_genus_680116	23
Posavirus_genus_2219055	5
Omegavirus_genus_1623292	38
Kappaarterivirus_genus_2499676	1
Betaarterivirus_genus_2499674	7
Keshuvirus_genus_2948781	6
Sinaivirus_genus_1921556	10
Deltapolyomavirus_genus_1891715	8
Dyozetapapillomavirus_genus_934803	1
Kochikohdavirus_genus_2560160	24
Villovirus_genus_2732885	3
Alphaendornavirus_genus_2003394	31
Habenivirus_genus_1977141	4
Uukuvirus_genus_2734594	17
Tobamovirus_genus_12234	55
Hapavirus_genus_1972611	18
Almendravirus_genus_1972682	8
Tibrovirus_genus_1299306	8
Ephemerovirus_genus_32613	13
Pelamoviroid_genus_185759	3
Coriovirus_genus_2732872	1
Citrivirus_genus_699166	6
Saclayvirus_genus_2733128	14
Fijivirus_genus_10988	8
Totivirus_genus_11007	95
Scleroulivirus_genus_2560226	26
Xylivirus_genus_2732886	2
Kryptosalinivirus_genus_2560163	2
Ripduovirus_genus_2560215	1
Eragrovirus_genus_1298632	1
Pahsextavirus_genus_2732963	8
Tulanevirus_genus_2560244	11
Bastillevirus_genus_1918010	9
Thornevirus_genus_2560237	1
Trichomonasvirus_genus_674952	4
Cryspovirus_genus_675059	1
Carlavirus_genus_12163	81
Vividuovirus_genus_2560251	28
Soupsvirus_genus_1982562	18
Betachrysovirus_genus_2560100	11
Sertoctavirus_genus_2560227	2
Wilnyevirus_genus_2560255	1
Mischivirus_genus_1511778	5
Sugarlandvirus_genus_2560233	31
Risingsunvirus_genus_2560216	1
Decapodiridovirus_genus_2560120	1
Dichorhavirus_genus_1913605	5
Schiekvirus_genus_2732968	20
Chapparvovirus_genus_1885570	2
Brujitavirus_genus_2169611	7
Ipomovirus_genus_137757	8
Plymouthvirus_genus_2842966	1
Prasinovirus_genus_181084	25
Firehammervirus_genus_1636617	8
Iotatorquevirus_genus_687339	4
Quaranjavirus_genus_1299308	7
Ichtadenovirus_genus_691957	1
Citexvirus_genus_2732977	6
Ledantevirus_genus_1978532	20
Dyoiotapapillomavirus_genus_934804	2
Mivedwarsatellite_genus_2169630	6
Kratosvirus_genus_3044747	1
Hnatkovirus_genus_2843391	1
Fowlmouthvirus_genus_2843382	1
Dyopipapillomavirus_genus_1513243	1
Myohalovirus_genus_169682	2
Penstyldensovirus_genus_1513223	1
Gallivirus_genus_1511775	2
Oscivirus_genus_1511780	1
Alegriavirus_genus_2843345	2
Giardiavirus_genus_11011	3
Bertelyvirus_genus_2733152	8
Gervaisevirus_genus_2843385	9
Firingavirus_genus_2843381	2
Hostuviroid_genus_147262	2
Mosavirus_genus_1481451	3
Bakolyvirus_genus_2843355	4
Vitivirus_genus_184751	25
Betanemrhavirus_genus_2842406	2
Myosmarvirus_genus_2843428	4
Biseptimavirus_genus_1623274	20
Eganvirus_genus_2732978	19
Cbunavirus_genus_2842586	8
Chaphamaparvovirus_genus_2733231	47
Wanderervirus_genus_2843127	1
Lietduovirus_genus_2843417	1
Penicillimonavirus_genus_2842949	14
Felispumavirus_genus_2169666	2
Amdoparvovirus_genus_310911	8
Inbricusvirus_genus_2842758	1
Badaztecvirus_genus_2843354	3
Spizizenvirus_genus_2843460	4
Waukeshavirus_genus_2843472	3
Twortvirus_genus_1857846	1
Lambovirus_genus_2843412	23
Pourcelvirus_genus_2842976	2
Zedzedvirus_genus_2843159	1
Icerudivirus_genus_2842752	3
Babosmacovirus_genus_2842392	1
Beceayunavirus_genus_2843357	1
Hubeivirus_genus_2843392	3
Copernicusvirus_genus_2842616	17
Pankowvirus_genus_2843432	6
Kanagawavirus_genus_2843399	8
Sawaravirus_genus_2843451	1
Pippivirus_genus_2843435	2
Holosalinivirus_genus_2560147	2
Brucesealvirus_genus_2842570	11
Lwoffvirus_genus_1623307	4
Gemykolovirus_genus_1941238	14
Gemykrogvirus_genus_1985367	10
Vendettavirus_genus_2049885	5
Sanyabayvirus_genus_2843019	2
Susfortunavirus_genus_2843064	3
Sandinevirus_genus_2843449	10
Vedamuthuvirus_genus_2843470	6
Capillovirus_genus_12174	7
Fremauxvirus_genus_2843383	2
Protoambidensovirus_genus_2733228	3
Tungrovirus_genus_187212	2
Coguvirus_genus_2560118	7
Topilevirus_genus_2843099	1
Yermavirus_genus_3044862	1
Lastavirus_genus_2843414	3
Potexvirus_genus_12176	55
Furovirus_genus_12291	6
Kobbarisatellite_genus_2842806	1
Perhabdovirus_genus_1298653	4
Blunervirus_genus_2022856	3
Bidensovirus_genus_1285588	2
Caeruleovirus_genus_1911929	14
Curiovirus_genus_1985687	4
Sobemovirus_genus_12137	29
Okubovirus_genus_1857845	15
Bostovirus_genus_2508241	1
Zybavirus_genus_2560258	3
Ictavirus_genus_3044737	3
Aurivirus_genus_1513230	1
Salmovirus_genus_3044809	3
Vespertilionpoxvirus_genus_2733301	1
Gamaleyavirus_genus_1920753	27
Kagunavirus_genus_1910992	59
Quwivirus_genus_2842996	3
Fabavirus_genus_12269	10
Betabaculovirus_genus_558017	31
Nepovirus_genus_12270	43
Cheravirus_genus_310684	6
Comovirus_genus_12258	16
Phapecoctavirus_genus_2733124	47
Eiauvirus_genus_1982111	1
Kelleziovirus_genus_1982236	2
Jenstvirus_genus_1982222	2
Harrisonvirus_genus_1982220	2
Abidjanvirus_genus_1982095	6
Gordonvirus_genus_1982152	25
Yokohamavirus_genus_1980938	3
Yuavirus_genus_1299429	28
Luteovirus_genus_12036	23
Bignuzvirus_genus_1623277	1
Moineauvirus_genus_1623304	122
Jimmervirus_genus_1984788	2
Andromedavirus_genus_1623275	10
Pelarspovirus_genus_1911602	8
Aureusvirus_genus_186457	7
Patiencevirus_genus_1982359	2
Cepunavirus_genus_1982583	2
Avibirnavirus_genus_39751	1
Camvirus_genus_1982879	21
Saphexavirus_genus_1623302	53
Roufvirus_genus_1982370	1
Titanvirus_genus_1982573	4
Tinduovirus_genus_1982569	2
Tankvirus_genus_1982566	2
Thottimvirus_genus_2501368	3
Stralarivirus_genus_2948915	2
Scindoambidensovirus_genus_2733229	5
Tenuivirus_genus_12329	11
Clostunsatellite_genus_2169627	4
Jwalphavirus_genus_2169642	1
Tertilicivirus_genus_2732881	1
Primolicivirus_genus_2732875	2
Baltimorevirus_genus_2169641	1
Dyoxipapillomavirus_genus_1513246	3
Erskinevirus_genus_2169623	2
Taipeivirus_genus_2731621	24
Miltonvirus_genus_2841278	4
Pararubulavirus_genus_2560200	11
Anatolevirus_genus_2169651	2
Shirahamavirus_genus_2843456	1
Annadreamyvirus_genus_2843347	4
Manuelvirus_genus_2842852	5
Jhansiroadvirus_genus_2842776	1
Aphroditevirus_genus_2560092	4
Stoningtonvirus_genus_2843060	2
Pacinivirus_genus_2842934	4
Dubowvirus_genus_2842658	47
Wenrivirus_genus_2560254	1
Yingchengvirus_genus_2843153	3
Betaendornavirus_genus_2003395	7
Betanudivirus_genus_1511854	1
