DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
Odocoileus_genus_9871	2
Ochotona_genus_9977	2
Chlamydotis_genus_172679	2
Thomomys_genus_10011	1
Esox_genus_8009	3
Electrophorus_genus_8004	2
Armillaria_genus_47424	15
Diplocarpon_genus_446948	3
Trichothecium_genus_231006	3
Sapajus_genus_1532884	1
Humulus_genus_3484	1
Tausonia_genus_415704	2
Bubo_genus_30460	4
Naematelia_genus_1910899	2
Secale_genus_4549	1
Avicennia_genus_41377	1
Cyclopterus_genus_8102	1
Berkeleyomyces_genus_2174073	2
Polyporus_genus_5637	3
Piromyces_genus_4821	3
Betta_genus_158455	2
Plodia_genus_58823	1
Plasmopara_genus_4780	4
Ensete_genus_4638	2
Squalius_genus_233201	6
Thunnus_genus_8234	4
Benincasa_genus_102210	2
Sungouiella_genus_3315605	16
Tetradesmus_genus_91192	3
Pipistrellus_genus_27671	6
Pyrus_genus_3766	5
Labeo_genus_84644	4
Coniochaeta_genus_79808	9
Scedosporium_genus_41687	6
Santalum_genus_35973	1
Rhinolophus_genus_49442	8
Anoplolepis_genus_354295	1
Brachypodium_genus_15367	4
Meriones_genus_10046	2
Haemaphysalis_genus_34622	1
Serpula_genus_80744	1
Chiloscyllium_genus_34767	2
Tyrophagus_genus_41443	1
Arhopalus_genus_256646	2
Aureococcus_genus_44055	1
Juncus_genus_13578	3
Melopsittacus_genus_13145	1
Channa_genus_33789	4
Alligator_genus_8495	2
Carcharodon_genus_13396	1
Hypophthalmichthys_genus_7963	2
Clarias_genus_13012	12
Jatropha_genus_3995	3
Chlorocebus_genus_392815	3
Pyrrhopyge_genus_355099	22
Ortholexis_genus_2847959	3
Enterocytozoon_genus_27971	2
Saccharina_genus_309357	3
Zootoca_genus_141678	1
Lasioglossum_genus_88467	15
Vaccinium_genus_13749	10
Syngnathus_genus_103719	5
Annulohypoxylon_genus_326606	9
Laburnicola_genus_2035359	4
Eriocheir_genus_95601	1
Lithohypha_genus_2695291	2
Camelina_genus_71323	4
Myodes_genus_447134	1
Gyromitra_genus_33160	16
Monilinia_genus_38447	6
Cryomyces_genus_329878	2
Dasytricha_genus_40805	1
Apiospora_genus_1811811	14
Fraxinus_genus_38871	25
Coniothyrium_genus_78388	1
Vanessa_genus_42274	3
Petrochromis_genus_28817	15
Agroathelia_genus_3072477	2
Monodon_genus_40150	1
Menidia_genus_238743	2
Isotricha_genus_5986	4
Litchi_genus_151068	1
Plenodomus_genus_118259	5
Dioszegia_genus_165440	7
Antiaris_genus_241856	1
Rhamphochromis_genus_28824	2
Taphrina_genus_5010	9
Hypsizygus_genus_39965	2
Macrotis_genus_92650	1
Pavo_genus_9048	2
Azolla_genus_39630	7
Aricia_genus_91737	5
Umbelopsis_genus_64561	7
Camarosporium_genus_371110	1
Astur_genus_3410462	2
Prunella_genus_39176	1
Grus_genus_9114	5
Allacma_genus_39132	1
Plectosphaerella_genus_40657	3
Barbus_genus_40829	1
Quercus_genus_3511	22
Inonotus_genus_40468	3
Riptortus_genus_41703	1
Abramis_genus_38526	1
Echinochloa_genus_45618	2
Eudromia_genus_8804	1
Perognathus_genus_37442	1
Gavialis_genus_94834	1
Calendula_genus_41495	1
