# Multiple Unclassified Combinations
# Analysis date: 2025-10-15 11:14:40
# Total combinations: 83
# Total clusters: 41,506
# Total sequences: 198,486

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Alveolata|Dino-Group-I.U.family|Dino-Group-I.U.genus,Alveolata,Dino-Group-I.U.family,Dino-Group-I.U.genus,197,907,4.6,REF_SPR_KJ763482.1.1806_Eukaryota_SAR_Alveolata_Dinoflagellata_Dinophyceae_Peridiniphycidae_Peridiniales_Heterocapsa_uncultured_eukaryote; REF_SPR_KJ757616.1.1803_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndiniales_Group_I_uncultured_eukaryote; REF_SPR_KJ762093.1.1803_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndiniales_Group_I_uncultured_eukaryote
Evosea|Flamellidae.U.family|Flamellidae.U.genus,Evosea,Flamellidae.U.family,Flamellidae.U.genus,197,567,2.88,IMG_3300002966.a_JGI24721J44947_10018413; IMG_3300043445.a_Ga0451692_0005490; IMG_3300011120.a_Ga0150983_10430345
Alveolata|Phyllopharyngea.U.family|Phyllopharyngea.U.genus,Alveolata,Phyllopharyngea.U.family,Phyllopharyngea.U.genus,186,686,3.69,REF_SPR_KU588417.1.2209_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea_Cyrtophoria_Chilodochona_Chilodochona_carcini; IMG_3300043404.a_Ga0451695_0001403; IMG_3300043452.a_Ga0451750_0004117
Opisthokonta|Turbellaria.U.family|Turbellaria.U.genus,Opisthokonta,Turbellaria.U.family,Turbellaria.U.genus,153,634,4.14,REF_SPR_DQ826573.1.2221_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Akentrogonida_Thompsonia_littoralis; REF_SPR_AY775764.1.1944_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Proxenetes_flabellifer; REF_SPR_AY775770.1.1876_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Ptychopera_westbladi
Centroplasthelida|Centroplasthelida_X.U.family|Centroplasthelida_X.U.genus,Centroplasthelida,Centroplasthelida_X.U.family,Centroplasthelida_X.U.genus,151,475,3.15,IMG_3300008263.a_Ga0114349_1002451; IMG_3300008264.a_Ga0114353_1010146; IMG_3300031036.a_Ga0073978_1019917
Opisthokonta|Arthropoda.U.family|Arthropoda.U.genus,Opisthokonta,Arthropoda.U.family,Arthropoda.U.genus,138,741,5.37,REF_SPR_AF332146.1.2659_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Cyathura_Cyathura_carinata; REF_SPR_JF699547.1.2547_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Exosphaeroma_Exosphaeroma_sp.; REF_SPR_AF255703.1.2532_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Colubotelson_Colubotelson_thomsoni
Tubulinea|Tubulinea_X.U.family|Tubulinea_X.U.genus,Tubulinea,Tubulinea_X.U.family,Tubulinea_X.U.genus,121,492,4.07,IMG_3300035704.a_Ga0376645_0018730; IMG_3300004137.a_Ga0058883_1007751; IMG_3300042006.a_Ga0439432_018071
Rhizaria|Thaumatomonadida.U.family|Thaumatomonadida.U.genus,Rhizaria,Thaumatomonadida.U.family,Thaumatomonadida.U.genus,88,597,6.78,IMG_3300007510.a_Ga0105013_1016087; IMG_3300021964.a_Ga0222719_10028737; IMG_3300037427.a_Ga0315325_0038382
Tubulinea|Euamoebida.U.family|Euamoebida.U.genus,Tubulinea,Euamoebida.U.family,Euamoebida.U.genus,86,246,2.86,REF_SPR_EU869301.1.2048_U_18S_rRNA_nucleus_strain_NTSHR_Eukaryota_Amoebozoa_Lobosa_Tubulinea_Euamoebida_Hartmannellidae_Saccamoeba_Saccamoeba_limax; IMG_3300015371.a_Ga0132258_10105125; REF_SPR_JQ271718.1.1974_Eukaryota_Amorphea_Amoebozoa_Tubulinea_Euamoebida_Saccamoeba_Saccamoeba_sp._MSED6
Tubulinea|Arcellinida.U.family|Arcellinida.U.genus,Tubulinea,Arcellinida.U.family,Arcellinida.U.genus,75,271,3.61,REF_SPR_AY848964.1.2373_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Lobosa_Tubulinea_Arcellinida_Arcellinida_X_Heleopera_Heleopera_sphagni; IMG_3300009697.a_Ga0116231_10031482; IMG_3300009787.a_Ga0116226_10045138
