# 18S EukCensus Taxonomic Combination Analysis
# Analysis date: 2025-10-15 11:26:29
# Total original records: 70,899
# Unique taxonomic combinations: 491
# Total sequences: 401,342

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Dothideomycetes|Phaeosphaeria,Opisthokonta,Dothideomycetes,Phaeosphaeria,172,1177,6.84,IMG_3300025875.a_Ga0210040_10018565; IMG_3300048852.a_Ga0496061_007596_1; IMG_3300025875.a_Ga0210040_10011181_1
Opisthokonta|Rhizophydiales_X|Rhizophydiales_XX,Opisthokonta,Rhizophydiales_X,Rhizophydiales_XX,157,593,3.78,IMG_3300027798.a_Ga0209353_10002893; REF_SPR_HQ191391.1.2521_U_18S_rRNA_nucleus_clone_PA2009B9_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; IMG_3300043398.a_Ga0451680_0000566
Opisthokonta|Maxillopoda|Maxillopoda.U.genus,Opisthokonta,Maxillopoda,Maxillopoda.U.genus,155,2107,13.59,IMG_3300023179.a_Ga0214923_10015406; REF_SPR_AB625967.1.2136_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridia_asymmetrica; REF_SPR_AB625960.1.2064_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Gaetanus_variabilis
Opisthokonta|Turbellaria.U.family|Turbellaria.U.genus,Opisthokonta,Turbellaria.U.family,Turbellaria.U.genus,153,634,4.14,REF_SPR_DQ826573.1.2221_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Akentrogonida_Thompsonia_littoralis; REF_SPR_AY775764.1.1944_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Proxenetes_flabellifer; REF_SPR_AY775770.1.1876_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Ptychopera_westbladi
Opisthokonta|Salpingoecidae_Group_C1|Salpingoecidae_Group_C1_X,Opisthokonta,Salpingoecidae_Group_C1,Salpingoecidae_Group_C1_X,148,357,2.41,IMG_3300028370.a_Ga0306871_1001537_1; IMG_3300037330.a_Ga0400266_0005888_1; IMG_3300027971.a_Ga0209401_1005308_1
Opisthokonta|Arthropoda.U.family|Arthropoda.U.genus,Opisthokonta,Arthropoda.U.family,Arthropoda.U.genus,138,741,5.37,REF_SPR_AF332146.1.2659_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Cyathura_Cyathura_carinata; REF_SPR_JF699547.1.2547_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Exosphaeroma_Exosphaeroma_sp.; REF_SPR_AF255703.1.2532_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Colubotelson_Colubotelson_thomsoni
Opisthokonta|Mammalia|Mammalia.U.genus,Opisthokonta,Mammalia,Mammalia.U.genus,122,564,4.62,REF_SPR_BC025983.1.2414_U_18S_rRNA_nucleus_clone_IMAGE_4025331_Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Homo_Homo_sapiens; REF_SPR_GECJ01038665.1.1942_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Enoplea_Dorylaimia_Trichocephalida_Trichinella_pseudospiralis; REF_SPR_GECJ01013363.1.1920_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Enoplea_Dorylaimia_Trichocephalida_Trichinella_pseudospiralis
Opisthokonta|Lecanoromycetes|Lecanoromycetes.U.genus,Opisthokonta,Lecanoromycetes,Lecanoromycetes.U.genus,116,343,2.96,REF_SPR_AJ549810.1.3091_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Leotiomycetes_Helotiales_Tornabea_Tornabea_scutellifera; REF_SPR_KJ766684.1.2890_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Lecanoromycetes_Alectoria_Alectoria_ochroleuca; REF_SPR_AY640991.1.2533_G_18S_rRNA_nucleus_specimen_Reeb_VR_8-VII-98_19__DUKE__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Lecanoromycetes_Glypholecia_Glypholecia_scabra
Opisthokonta|Rotifera_XX|Rotifera_XX.U.genus,Opisthokonta,Rotifera_XX,Rotifera_XX.U.genus,113,1652,14.62,IMG_3300006112.a_Ga0007857_1009312; IMG_3300006116.a_Ga0007807_1005623; REF_SPR_AF499747.1.1820_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Bryozoa_Gymnolaemata_Cheilostomatida_Parasmittina_sp._HYL-2002
Opisthokonta|Chromadorea_X|Chromadorea_XX,Opisthokonta,Chromadorea_X,Chromadorea_XX,104,526,5.06,REF_BRK_c-121_conseq_Otu514_4_soil_Skogaryd-peat_Eukaryota_Obazoa_Opisthokonta_Metazoa_Nematoda_Class; REF_SPR_EF023472.1.1842_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Monhysterida_Limulidae_environmental_sample; IMG_3300005827.a_Ga0074478_1071144
Opisthokonta|Branchiopoda|Branchiopoda.U.genus,Opisthokonta,Branchiopoda,Branchiopoda.U.genus,100,673,6.73,REF_SPR_GDIP01028159.8255.10682_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Branchiopoda_Phyllopoda_Diplostraca_Daphnia_magna; IMG_3300037346.a_Ga0400280_002143; IMG_3300003818.a_Ga0007841_100047
