# Total Size Outliers
# Analysis date: 2025-10-15 11:15:54
# Total outliers: 70
# Outliers identified using IQR method (1.5 * IQR)

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Crustacea.U.family|Crustacea.U.genus,Opisthokonta,Crustacea.U.family,Crustacea.U.genus,436,2433,5.58,IMG_3300005826.a_Ga0074477_1496964; REF_SPR_LT960405.1.1906_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Siphonostomatoida_Macrostylis_sp._ML08; IMG_3300040793.a_Ga0450797_132125
Opisthokonta|Sordariomycetes|Sordariomycetes.U.genus,Opisthokonta,Sordariomycetes,Sordariomycetes.U.genus,469,2392,5.1,REF_SPR_LT604109.1.3894_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Sordariomycetes_Incertae_Sedis_Incertae_Sedis_Xylomelasma_Xylomelasma_sp._EMSL_2471; REF_SPR_AB278174.1.3604_G_18S_rRNA_nucleus_strain_CBS_246.91_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Togninia_Togninia_minima; REF_SPR_JN941751.1.3446_U_18S_rRNA_nucleus_strain_NBRC_101408_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Cordyceps_Cordyceps_nipponica
Opisthokonta|Mollusca.U.family|Mollusca.U.genus,Opisthokonta,Mollusca.U.family,Mollusca.U.genus,353,2354,6.67,REF_SPR_AF120520.1.2239_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_caribaea; REF_SPR_FJ917203.1.2175_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_elongatospira; REF_SPR_FJ917449.1.2172_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Pleurobranchaea_meckeli
Chlorophyta|Chlorophyta_X.U.family|Chlorophyta_X.U.genus,Chlorophyta,Chlorophyta_X.U.family,Chlorophyta_X.U.genus,499,2267,4.54,IMG_3300008265.a_Ga0114361_1010994; IMG_3300021577.a_Ga0226818_1000932; IMG_3300042875.a_Ga0453091_003930
Rhizaria|Monothalamids_X.U.family|Monothalamids_X.U.genus,Rhizaria,Monothalamids_X.U.family,Monothalamids_X.U.genus,507,2233,4.4,REF_SPR_HM213830.1.4173_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_KF042533.1.4130_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_AJ318224.1.4066_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Monothalamids_Monothalamids_Clade-I_Monothalamids_Clade-I_X_Astrammina_Astrammina_triangularis
Rhizaria|Foraminifera.U.family|Foraminifera.U.genus,Rhizaria,Foraminifera.U.family,Foraminifera.U.genus,322,2196,6.82,IMG_3300010985.a_Ga0138326_10258234; REF_SPR_M20154.1.4194_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Mus_Mus_musculus; IMG_3300030752.a_Ga0073953_11461494
Opisthokonta|Maxillopoda|Maxillopoda.U.genus,Opisthokonta,Maxillopoda,Maxillopoda.U.genus,155,2107,13.59,IMG_3300023179.a_Ga0214923_10015406; REF_SPR_AB625967.1.2136_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridia_asymmetrica; REF_SPR_AB625960.1.2064_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Gaetanus_variabilis
Alveolata|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X,Alveolata,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,116,2072,17.86,IMG_3300023173.a_Ga0255776_10017637; REF_BRK_c-136_conseq_Otu451_10_deep_Ms2-mes_Eukaryota_TSAR_Alveolata_Dinoflagellata_Syndiniales_Dino-Group-I_Dino-Group-I-Clade-1_Dino-Group-I-Clade-1_X_Dino-Group-I-Clade-1_X_sp_Species; IMG_3300020461.a_Ga0211535_10031857
Opisthokonta|Eurotiomycetes|Penicillium,Opisthokonta,Eurotiomycetes,Penicillium,100,2067,20.67,IMG_3300046648.a_Ga0495611_0002655; REF_SPR_EU167574.1.3043_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_sp._CBS_280.49; IMG_3300021088.a_Ga0210404_10009263
Opisthokonta|Chromadorea_X|Heterodera,Opisthokonta,Chromadorea_X,Heterodera,228,2028,8.89,IMG_3300045049.a_Ga0466959_0008631; REF_SPR_KJ934150.1.2707_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Hoplolaimus_columbus; REF_SPR_KJ934135.1.2367_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Cactodera_sp._YZ-2011
