genus,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Bacteroidales.U.genus,171549,2210,6840,0.77,0.53,89345,2146,3.01,2.09,0,0,2146,0,2146,matched,Bacteria,9255,10.36,1.03,0.971
Listeria,1637,24,1275,0.01,0.1,74807,35,2.52,0.03,0,0,35,0,35,matched,Bacteria,74806,100.0,0.686,1.458
Pseudomonadales.U.genus,72274,1109,8970,0.39,0.7,66942,3812,2.26,3.72,0,0,3812,0,3812,matched,Bacteria,62253,93.0,0.291,3.437
Neisseriaceae.U.genus,481,110,288,0.04,0.02,65813,321,2.22,0.31,0,0,321,0,321,matched,Bacteria,65001,98.77,0.343,2.918
Alphaproteobacteria.U.genus,28211,4173,24436,1.45,1.9,65259,12148,2.2,11.85,0,0,12148,0,12148,matched,Bacteria,23349,35.78,0.344,2.911
Neisseria,482,265,1963,0.09,0.15,65094,223,2.2,0.22,0,0,223,0,223,matched,Bacteria,64620,99.27,1.188,0.842
Eubacteriales.U.genus,186802,212,328,0.07,0.03,64377,2965,2.17,2.89,0,0,2965,0,2965,matched,Bacteria,9467,14.71,0.072,13.986
Pseudomonadaceae.U.genus,135621,1,36,0.0,0.0,64233,3549,2.17,3.46,0,0,3549,0,3549,matched,Bacteria,61830,96.26,0.0,3549.0
Pseudomonas,286,2357,13398,0.82,1.04,62331,3390,2.1,3.31,0,0,3390,0,3390,matched,Bacteria,61046,97.94,0.695,1.438
Moraxellaceae.U.genus,468,108,408,0.04,0.03,55255,1293,1.86,1.26,0,0,1293,0,1293,matched,Bacteria,53041,95.99,0.084,11.972
Acinetobacter,469,749,4886,0.26,0.38,53455,913,1.8,0.89,0,0,913,0,913,matched,Bacteria,52164,97.58,0.82,1.219
Enterococcus,1350,405,2809,0.14,0.22,52965,789,1.79,0.77,0,0,789,0,789,matched,Bacteria,51992,98.16,0.513,1.948
Shigella,620,28,154,0.01,0.01,52950,153,1.79,0.15,0,0,153,0,153,matched,Bacteria,52805,99.73,0.183,5.464
Lachnospiraceae.U.genus,186803,7236,15395,2.52,1.2,46359,1566,1.56,1.53,0,0,1566,0,1566,matched,Bacteria,3241,6.99,4.621,0.216
Vibrionaceae.U.genus,641,28,34,0.01,0.0,40015,1118,1.35,1.09,0,0,1118,0,1118,matched,Bacteria,39826,99.53,0.025,39.929
Vibrio,662,684,4478,0.24,0.35,38993,930,1.32,0.91,0,0,930,0,930,matched,Bacteria,38848,99.63,0.735,1.36
Archaea.U.genus,2157,30,87,0.01,0.01,34539,3433,1.17,3.35,0,0,3433,0,3433,matched,Archaea,3220,9.32,0.009,114.433
Burkholderiales.U.genus,80840,827,4977,0.29,0.39,32098,3630,1.08,3.54,0,0,3630,0,3630,matched,Bacteria,17980,56.02,0.228,4.389
