family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Cyanidiales_X,265318,2,21,0.0,0.01,8,3,0.01,0.01,0,0,3,0,3,matched,Eukaryota,8,100.0,0.667,1.5
Ichthyophonida_XX,198625,6,11,0.01,0.0,8,6,0.01,0.02,0,0,6,0,6,matched,Eukaryota,8,100.0,1.0,1.0
Chloropicaceae,2302913,15,50,0.02,0.01,7,4,0.01,0.02,0,0,4,0,4,matched,Eukaryota,7,100.0,3.75,0.267
Cercozoa_XXX,136419,12,21,0.02,0.01,7,5,0.01,0.02,0,0,5,0,5,matched,Eukaryota,6,85.71,2.4,0.417
Cercozoa.U.family,136419,1152,3275,1.62,0.82,7,5,0.01,0.02,0,0,5,0,5,matched,Eukaryota,6,85.71,230.4,0.004
Cafeteriaceae,238884,18,75,0.03,0.02,7,3,0.01,0.01,0,0,3,0,3,matched,Eukaryota,5,71.43,6.0,0.167
Endomyxa-Ascetosporea_XX,1871466,4,8,0.01,0.0,6,6,0.01,0.02,0,0,6,0,6,matched,Eukaryota,4,66.67,0.667,1.5
Euglenida.U.family,3035,1526,5350,2.15,1.33,5,3,0.01,0.01,0,0,3,0,3,matched,Eukaryota,5,100.0,508.667,0.002
Selenastraceae,35466,1,1,0.0,0.0,5,5,0.01,0.02,0,0,5,0,5,matched,Eukaryota,4,80.0,0.2,5.0
Dacrymycetes,452332,5,5,0.01,0.0,4,4,0.01,0.02,0,0,4,0,4,matched,Eukaryota,4,100.0,1.25,0.8
Spizellomycetaceae,34479,52,167,0.07,0.04,4,4,0.01,0.02,0,0,4,0,4,matched,Eukaryota,4,100.0,13.0,0.077
Rozellomycota_XX,1031332,268,757,0.38,0.19,3,2,0.01,0.01,0,0,2,0,2,matched,Eukaryota,3,100.0,134.0,0.007
Salpingoecidae_Group_C1,81529,148,357,0.21,0.09,3,2,0.01,0.01,0,0,2,0,2,matched,Eukaryota,3,100.0,74.0,0.014
Paramoebidae,200887,54,81,0.08,0.02,3,2,0.01,0.01,0,0,2,0,2,matched,Eukaryota,3,100.0,27.0,0.037
Balamuthiidae,555408,8,12,0.01,0.0,3,1,0.01,0.0,0,0,1,0,1,matched,Eukaryota,3,100.0,8.0,0.125
Phaeodactylaceae,38749,15,37,0.02,0.01,3,1,0.01,0.0,0,0,1,0,1,matched,Eukaryota,3,100.0,15.0,0.067
Foraminifera.U.family,29178,322,2196,0.45,0.55,3,3,0.01,0.01,0,0,3,0,3,matched,Eukaryota,2,66.67,107.333,0.009
Euglenaceae,1131320,470,1572,0.66,0.39,3,1,0.01,0.0,0,0,1,0,1,matched,Eukaryota,3,100.0,470.0,0.002
Colpodellida_CHR1,877183,18,70,0.03,0.02,3,2,0.01,0.01,0,0,2,0,2,matched,Eukaryota,3,100.0,9.0,0.111
Vannellidae,95227,56,94,0.08,0.02,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,0,0.0,56.0,0.018
Tubulinea.U.family,555369,2,2,0.0,0.0,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,50.0,2.0,0.5
Monothalamids_X.U.family,1505960,507,2233,0.72,0.56,2,2,0.0,0.01,0,0,2,0,2,matched,Eukaryota,2,100.0,253.5,0.004
Neobodonida.U.family,2704648,221,929,0.31,0.23,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,2,100.0,221.0,0.005
Tubulinea_XXXX,555369,7,15,0.01,0.0,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,50.0,7.0,0.143
Mastigamoebidae,174815,1609,10879,2.27,2.71,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,2,100.0,1609.0,0.001
Paulinellidae,39715,17,24,0.02,0.01,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,2,100.0,17.0,0.059
Monothalamids_XX,1505960,92,231,0.13,0.06,2,2,0.0,0.01,0,0,2,0,2,matched,Eukaryota,2,100.0,46.0,0.022
Ochromonadaceae,88165,12,14,0.02,0.0,2,2,0.0,0.01,0,0,2,0,2,matched,Eukaryota,2,100.0,6.0,0.167
Tubulinea_X.U.family,555369,121,492,0.17,0.12,2,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,50.0,121.0,0.008
Gastrotricha_XX,33313,99,612,0.14,0.15,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,99.0,0.01
Digenea,256429,190,955,0.27,0.24,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,190.0,0.005
Polychytriales_X,1134056,5,6,0.01,0.0,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,5.0,0.2
Rhabdomonadales,86649,26,100,0.04,0.02,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,26.0,0.038
Neovahlkampfiidae,2602010,211,780,0.3,0.19,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,211.0,0.005
Pelobiontida.U.family,2682475,2,3,0.0,0.0,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,2.0,0.5
Neogregarinorida.U.family,238088,5,9,0.01,0.0,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,5.0,0.2
Bodonidae,5708,10,15,0.01,0.0,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,10.0,0.1
Labyrinthulaceae,35132,62,238,0.09,0.06,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,62.0,0.016
Pelobiontida_X,2682475,34,67,0.05,0.02,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,34.0,0.029
Gregarinidae,35088,130,692,0.18,0.17,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,130.0,0.008
