family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Bdellovibrionales.U.family,213481,544,2058,0.22,0.18,1300,134,0.04,0.13,0,0,134,0,134,matched,Bacteria,57,4.38,4.06,0.246
Armatimonadota.U.family,67819,593,1638,0.24,0.15,1296,97,0.04,0.09,0,0,97,0,97,matched,Bacteria,21,1.62,6.113,0.164
Elusimicrobiota.U.family,74152,267,743,0.11,0.07,1295,178,0.04,0.17,0,0,178,0,178,matched,Bacteria,41,3.17,1.5,0.667
Selenomonadaceae,1843491,369,1665,0.15,0.15,1273,85,0.04,0.08,0,0,85,0,85,matched,Bacteria,162,12.73,4.341,0.23
Gemmatimonadaceae,219687,1494,8126,0.61,0.72,1264,23,0.04,0.02,0,0,23,0,23,matched,Bacteria,11,0.87,64.957,0.015
Nostocales.U.family,1161,3,7,0.0,0.0,1263,502,0.04,0.49,0,0,502,0,502,matched,Bacteria,583,46.16,0.006,167.333
Gaiellales.U.family,1154584,855,6562,0.35,0.58,1259,8,0.04,0.01,0,0,8,0,8,matched,Bacteria,210,16.68,106.875,0.009
Halomonadaceae,28256,598,2529,0.24,0.22,1248,537,0.04,0.52,0,0,537,0,537,matched,Bacteria,891,71.39,1.114,0.898
Shewanellaceae,267890,223,1412,0.09,0.13,1242,344,0.04,0.34,0,0,344,0,344,matched,Bacteria,1040,83.74,0.648,1.543
Synechococcaceae,1890426,128,2103,0.05,0.19,1199,519,0.04,0.51,0,0,519,0,519,matched,Bacteria,387,32.28,0.247,4.055
Pectobacteriaceae,1903410,90,759,0.04,0.07,1192,99,0.04,0.1,0,0,99,0,99,matched,Bacteria,1189,99.75,0.909,1.1
Solirubrobacteraceae,320599,171,1546,0.07,0.14,1182,12,0.04,0.01,0,0,12,0,12,matched,Bacteria,100,8.46,14.25,0.07
Alteromonadaceae,72275,514,2140,0.21,0.19,1165,311,0.04,0.3,0,0,311,0,311,matched,Bacteria,427,36.65,1.653,0.605
Xanthobacteraceae,335928,435,3679,0.18,0.33,1156,122,0.04,0.12,0,0,122,0,122,matched,Bacteria,188,16.26,3.566,0.28
Methylococcaceae,403,311,2072,0.13,0.18,1149,164,0.04,0.16,0,0,164,0,164,matched,Bacteria,163,14.19,1.896,0.527
Rhodospirillaceae,41295,394,2065,0.16,0.18,1140,122,0.04,0.12,0,0,122,0,122,matched,Bacteria,87,7.63,3.23,0.31
Streptosporangiaceae,2004,162,766,0.07,0.07,1120,422,0.04,0.41,0,0,422,0,422,matched,Bacteria,660,58.93,0.384,2.605
Paludibacteraceae,2005523,386,1426,0.16,0.13,1108,23,0.04,0.02,0,0,23,0,23,matched,Bacteria,4,0.36,16.783,0.06
Erythrobacteraceae,335929,309,1564,0.13,0.14,1066,334,0.04,0.33,0,0,334,0,334,matched,Bacteria,359,33.68,0.925,1.081
Halieaceae,1706372,376,1838,0.15,0.16,1059,85,0.04,0.08,0,0,85,0,85,matched,Bacteria,148,13.98,4.424,0.226
Pseudoalteromonadaceae,267888,375,1914,0.15,0.17,1056,540,0.04,0.53,0,0,540,0,540,matched,Bacteria,807,76.42,0.694,1.44
Arcobacteraceae,2808963,385,1780,0.16,0.16,1039,88,0.04,0.09,0,0,88,0,88,matched,Bacteria,723,69.59,4.375,0.229
Nitrosopumilaceae,338190,529,4381,0.22,0.39,1035,59,0.03,0.06,0,0,59,0,59,matched,Archaea,84,8.12,8.966,0.112
Oceanospirillaceae,135620,354,1500,0.14,0.13,1034,285,0.03,0.28,0,0,285,0,285,matched,Bacteria,299,28.92,1.242,0.805
Pirellulaceae,2691357,2878,10097,1.17,0.89,1022,100,0.03,0.1,0,0,100,0,100,matched,Bacteria,155,15.17,28.78,0.035
Methanomassiliicoccales.U.family,1235850,125,860,0.05,0.08,1011,114,0.03,0.11,0,0,114,0,114,matched,Archaea,186,18.4,1.096,0.912
Spartobacteria.U.family,134549,3,5,0.0,0.0,999,23,0.03,0.02,0,0,23,0,23,matched,Bacteria,5,0.5,0.13,7.667
Anaerovoracaceae,543314,456,1143,0.19,0.1,995,74,0.03,0.07,0,0,74,0,74,matched,Bacteria,69,6.93,6.162,0.162
Synergistales.U.family,649776,4,18,0.0,0.0,983,128,0.03,0.12,0,0,128,0,128,matched,Bacteria,65,6.61,0.031,32.0
Borreliaceae,1643685,23,160,0.01,0.01,964,48,0.03,0.05,0,0,48,0,48,matched,Bacteria,963,99.9,0.479,2.087
Mycoplasmoidaceae,2790998,5,9,0.0,0.0,949,29,0.03,0.03,0,0,29,0,29,matched,Bacteria,789,83.14,0.172,5.8
Deferribacterales.U.family,191393,2,14,0.0,0.0,949,36,0.03,0.04,0,0,36,0,36,matched,Bacteria,22,2.32,0.056,18.0
Cyclobacteriaceae,563798,548,2762,0.22,0.24,946,140,0.03,0.14,0,0,140,0,140,matched,Bacteria,179,18.92,3.914,0.255
Desulfuromonadia.U.family,3031651,280,980,0.11,0.09,945,151,0.03,0.15,0,0,151,0,151,matched,Bacteria,119,12.59,1.854,0.539
Steroidobacteraceae,2689614,199,1599,0.08,0.14,945,13,0.03,0.01,0,0,13,0,13,matched,Bacteria,28,2.96,15.308,0.065
Polyangiales.U.family,3031712,311,1423,0.13,0.13,930,106,0.03,0.1,0,0,106,0,106,matched,Bacteria,108,11.61,2.934,0.341
Hyphomicrobiaceae,45401,527,3003,0.21,0.27,925,70,0.03,0.07,0,0,70,0,70,matched,Bacteria,69,7.46,7.529,0.133
Syntrophales.U.family,2914038,105,814,0.04,0.07,919,83,0.03,0.08,0,0,83,0,83,matched,Bacteria,13,1.41,1.265,0.79
Rhodanobacteraceae,1775411,437,2617,0.18,0.23,916,253,0.03,0.25,0,0,253,0,253,matched,Bacteria,313,34.17,1.727,0.579
Vicinamibacteria.U.family,1813735,347,1645,0.14,0.15,916,12,0.03,0.01,0,0,12,0,12,matched,Bacteria,44,4.8,28.917,0.035
Thermoplasmatales.U.family,2301,14,57,0.01,0.01,909,91,0.03,0.09,0,0,91,0,91,matched,Archaea,33,3.63,0.154,6.5
Sphaerotilaceae,2975441,119,1295,0.05,0.11,900,207,0.03,0.2,0,0,207,0,207,matched,Bacteria,240,26.67,0.575,1.739
Nitrososphaeraceae,1033997,273,3133,0.11,0.28,897,31,0.03,0.03,0,0,31,0,31,matched,Archaea,18,2.01,8.806,0.114
Peptoniphilaceae,1570339,425,1369,0.17,0.12,879,160,0.03,0.16,0,0,160,0,160,matched,Bacteria,286,32.54,2.656,0.376
Desulfobulbales.U.family,3024411,121,311,0.05,0.03,877,131,0.03,0.13,0,0,131,0,131,matched,Bacteria,92,10.49,0.924,1.083
Thermotogae.U.family,200918,5,41,0.0,0.0,875,160,0.03,0.16,0,0,160,0,160,matched,Bacteria,142,16.23,0.031,32.0
Carnobacteriaceae,186828,289,1494,0.12,0.13,867,136,0.03,0.13,0,0,136,0,136,matched,Bacteria,394,45.44,2.125,0.471
Mucispirillaceae,2945020,21,40,0.01,0.0,856,5,0.03,0.0,0,0,5,0,5,matched,Bacteria,5,0.58,4.2,0.238
Desulfobacteraceae,213119,685,2486,0.28,0.22,856,75,0.03,0.07,0,0,75,0,75,matched,Bacteria,20,2.34,9.133,0.109
Gaiellaceae,1154585,186,1814,0.08,0.16,851,6,0.03,0.01,0,0,6,0,6,matched,Bacteria,13,1.53,31.0,0.032
Nanoarchaeota.U.family,192989,147,379,0.06,0.03,849,31,0.03,0.03,0,0,31,0,31,matched,Archaea,57,6.71,4.742,0.211
Methylobacteriaceae,119045,213,1410,0.09,0.12,842,374,0.03,0.36,0,0,374,0,374,matched,Bacteria,594,70.55,0.57,1.756
Dehalococcoidales.U.family,1202465,67,205,0.03,0.02,840,26,0.03,0.03,0,0,26,0,26,matched,Bacteria,147,17.5,2.577,0.388
Desulfurococcales.U.family,114380,30,77,0.01,0.01,834,55,0.03,0.05,0,0,55,0,55,matched,Archaea,31,3.72,0.545,1.833
Oscillatoriales.U.family,1150,38,133,0.02,0.01,832,554,0.03,0.54,0,0,554,0,554,matched,Bacteria,424,50.96,0.069,14.579
Pyrinomonadaceae,2048906,659,3239,0.27,0.29,814,6,0.03,0.01,0,0,6,0,6,matched,Bacteria,1,0.12,109.833,0.009
Procabacteriaceae,809,8,24,0.0,0.0,800,33,0.03,0.03,0,0,33,0,33,matched,Bacteria,763,95.38,0.242,4.125
Chlamydiaceae,809,5,47,0.0,0.0,800,33,0.03,0.03,0,0,33,0,33,matched,Bacteria,763,95.38,0.152,6.6
Marinobacteraceae,2887365,284,1490,0.12,0.13,798,216,0.03,0.21,0,0,216,0,216,matched,Bacteria,294,36.84,1.315,0.761
Crocinitomicaceae,1853230,417,2285,0.17,0.2,790,38,0.03,0.04,0,0,38,0,38,matched,Bacteria,65,8.23,10.974,0.091
Opitutaceae,134623,427,4052,0.17,0.36,787,51,0.03,0.05,0,0,51,0,51,matched,Bacteria,34,4.32,8.373,0.119
Chthoniobacterales.U.family,1836787,174,848,0.07,0.08,784,10,0.03,0.01,0,0,10,0,10,matched,Bacteria,3,0.38,17.4,0.057
Thiovulaceae,2771471,589,2004,0.24,0.18,761,108,0.03,0.11,0,0,108,0,108,matched,Bacteria,43,5.65,5.454,0.183
Chroococcales.U.family,1118,6,8,0.0,0.0,715,255,0.02,0.25,0,0,255,0,255,matched,Bacteria,194,27.13,0.024,42.5
Porticoccaceae,1706374,181,931,0.07,0.08,709,46,0.02,0.04,0,0,46,0,46,matched,Bacteria,142,20.03,3.935,0.254
Spirochaetaceae,137,1799,5941,0.73,0.53,707,68,0.02,0.07,0,0,68,0,68,matched,Bacteria,32,4.53,26.456,0.038
Acholeplasmatales.U.family,186329,4,5,0.0,0.0,706,127,0.02,0.12,0,0,127,0,127,matched,Bacteria,156,22.1,0.031,31.75
Planococcaceae,186818,348,1486,0.14,0.13,700,345,0.02,0.34,0,0,345,0,345,matched,Bacteria,478,68.29,1.009,0.991
Pseudobdellovibrionaceae,213483,458,965,0.19,0.09,679,102,0.02,0.1,0,0,102,0,102,matched,Bacteria,56,8.25,4.49,0.223
Hyphomonadaceae,69657,284,1532,0.12,0.14,670,100,0.02,0.1,0,0,100,0,100,matched,Bacteria,45,6.72,2.84,0.352
Chlorobiaceae,191412,2,3,0.0,0.0,666,38,0.02,0.04,0,0,38,0,38,matched,Bacteria,35,5.26,0.053,19.0
Mycoplasmataceae,2092,367,1256,0.15,0.11,663,188,0.02,0.18,0,0,188,0,188,matched,Bacteria,363,54.75,1.952,0.512
Woeseiaceae,1738654,289,1668,0.12,0.15,652,8,0.02,0.01,0,0,8,0,8,matched,Bacteria,31,4.75,36.125,0.028
Vicinamibacterales.U.family,2910145,913,3855,0.37,0.34,650,8,0.02,0.01,0,0,8,0,8,matched,Bacteria,43,6.62,114.125,0.009
Turicibacteraceae,2810281,98,372,0.04,0.03,649,17,0.02,0.02,0,0,17,0,17,matched,Bacteria,290,44.68,5.765,0.173
Prolixibacteraceae,1471398,742,2281,0.3,0.2,642,58,0.02,0.06,0,0,58,0,58,matched,Bacteria,47,7.32,12.793,0.078
Sulfolobales.U.family,2281,2,37,0.0,0.0,638,74,0.02,0.07,0,0,74,0,74,matched,Archaea,180,28.21,0.027,37.0
Elusimicrobia.U.family,641853,254,840,0.1,0.07,634,38,0.02,0.04,0,0,38,0,38,matched,Bacteria,5,0.79,6.684,0.15
Acholeplasmataceae,2146,417,1763,0.17,0.16,627,122,0.02,0.12,0,0,122,0,122,matched,Bacteria,156,24.88,3.418,0.293
Peptococcaceae,186807,585,1093,0.24,0.1,625,79,0.02,0.08,0,0,79,0,79,matched,Bacteria,60,9.6,7.405,0.135
Rhodocyclaceae,75787,395,1594,0.16,0.14,624,65,0.02,0.06,0,0,65,0,65,matched,Bacteria,59,9.46,6.077,0.165
Succinivibrionaceae,83763,131,462,0.05,0.04,612,49,0.02,0.05,0,0,49,0,49,matched,Bacteria,25,4.08,2.673,0.374
Rickettsiaceae,775,420,1938,0.17,0.17,612,152,0.02,0.15,0,0,152,0,152,matched,Bacteria,287,46.9,2.763,0.362
Aerococcaceae,186827,113,357,0.05,0.03,606,107,0.02,0.1,0,0,107,0,107,matched,Bacteria,429,70.79,1.056,0.947
Anaeroplasmataceae,186333,114,514,0.05,0.05,603,5,0.02,0.0,0,0,5,0,5,matched,Bacteria,1,0.17,22.8,0.044
Barnesiellaceae,2005519,110,548,0.04,0.05,601,23,0.02,0.02,0,0,23,0,23,matched,Bacteria,48,7.99,4.783,0.209
Nitrosomonadaceae,206379,710,6210,0.29,0.55,596,65,0.02,0.06,0,0,65,0,65,matched,Bacteria,95,15.94,10.923,0.092
Polyangiaceae,49,308,1464,0.13,0.13,591,95,0.02,0.09,0,0,95,0,95,matched,Bacteria,97,16.41,3.242,0.308
Verrucomicrobiaceae,203557,623,4565,0.25,0.4,588,73,0.02,0.07,0,0,73,0,73,matched,Bacteria,57,9.69,8.534,0.117
Bartonellaceae,772,15,196,0.01,0.02,582,286,0.02,0.28,0,0,286,0,286,matched,Bacteria,530,91.07,0.052,19.067
Microcoleaceae,1892252,111,723,0.05,0.06,581,417,0.02,0.41,0,0,417,0,417,matched,Bacteria,343,59.04,0.266,3.757
Gallionellaceae,90627,276,1169,0.11,0.1,579,52,0.02,0.05,0,0,52,0,52,matched,Bacteria,144,24.87,5.308,0.188
Bryobacteraceae,1962910,650,2629,0.26,0.23,569,10,0.02,0.01,0,0,10,0,10,matched,Bacteria,7,1.23,65.0,0.015
Chromatiaceae,1046,267,1149,0.11,0.1,559,140,0.02,0.14,0,0,140,0,140,matched,Bacteria,143,25.58,1.907,0.524
Desulfurococcaceae,2272,145,535,0.06,0.05,557,37,0.02,0.04,0,0,37,0,37,matched,Archaea,24,4.31,3.919,0.255
Piscirickettsiaceae,135616,191,1210,0.08,0.11,556,135,0.02,0.13,0,0,135,0,135,matched,Bacteria,162,29.14,1.415,0.707
Dysgonomonadaceae,2005520,573,1488,0.23,0.13,556,107,0.02,0.1,0,0,107,0,107,matched,Bacteria,62,11.15,5.355,0.187
Hafniaceae,1903412,49,494,0.02,0.04,546,19,0.02,0.02,0,0,19,0,19,matched,Bacteria,476,87.18,2.579,0.388
Desulfobulbaceae,213121,417,1643,0.17,0.15,544,98,0.02,0.1,0,0,98,0,98,matched,Bacteria,48,8.82,4.255,0.235
Aquificales.U.family,32069,11,73,0.0,0.01,543,52,0.02,0.05,0,0,52,0,52,matched,Bacteria,34,6.26,0.212,4.727
Nitrospinota.U.family,1293497,102,372,0.04,0.03,537,44,0.02,0.04,0,0,44,0,44,matched,Bacteria,24,4.47,2.318,0.431
Haloferacaceae,1644056,220,653,0.09,0.06,536,290,0.02,0.28,0,0,290,0,290,matched,Archaea,419,78.17,0.759,1.318
Halorubraceae,1644056,263,1265,0.11,0.11,536,290,0.02,0.28,0,0,290,0,290,matched,Archaea,419,78.17,0.907,1.103
Desulfuromonadales.U.family,69541,67,415,0.03,0.04,525,66,0.02,0.06,0,0,66,0,66,matched,Bacteria,47,8.95,1.015,0.985
Coxiellaceae,118968,727,1485,0.3,0.13,517,43,0.02,0.04,0,0,43,0,43,matched,Bacteria,227,43.91,16.907,0.059
Sulfurovaceae,2771472,714,1957,0.29,0.17,516,45,0.02,0.04,0,0,45,0,45,matched,Bacteria,17,3.29,15.867,0.063
Holophagae.U.family,533205,419,2673,0.17,0.24,512,47,0.02,0.05,0,0,47,0,47,matched,Bacteria,28,5.47,8.915,0.112
Methanosarcinaceae,2206,209,1577,0.08,0.14,511,139,0.02,0.14,0,0,139,0,139,matched,Archaea,179,35.03,1.504,0.665
Microcystaceae,1890449,38,608,0.02,0.05,510,170,0.02,0.17,0,0,170,0,170,matched,Bacteria,101,19.8,0.224,4.474
Ectothiorhodospiraceae,72276,336,1544,0.14,0.14,509,156,0.02,0.15,0,0,156,0,156,matched,Bacteria,180,35.36,2.154,0.464
Synergistaceae,649777,401,1117,0.16,0.1,508,51,0.02,0.05,0,0,51,0,51,matched,Bacteria,25,4.92,7.863,0.127
Intrasporangiaceae,85021,169,1573,0.07,0.14,500,184,0.02,0.18,0,0,184,0,184,matched,Bacteria,237,47.4,0.918,1.089
Fibrobacterales.U.family,218872,256,768,0.1,0.07,484,62,0.02,0.06,0,0,62,0,62,matched,Bacteria,43,8.88,4.129,0.242
Nostocaceae,1162,181,1030,0.07,0.09,482,241,0.02,0.24,0,0,241,0,241,matched,Bacteria,216,44.81,0.751,1.331
Fibrobacteraceae,204431,303,1198,0.12,0.11,468,57,0.02,0.06,0,0,57,0,57,matched,Bacteria,41,8.76,5.316,0.188
Methanoregulaceae,1198451,140,1201,0.06,0.11,454,51,0.02,0.05,0,0,51,0,51,matched,Archaea,5,1.1,2.745,0.364
Thermodesulfovibrionia.U.family,2811502,532,1861,0.22,0.16,448,25,0.02,0.02,0,0,25,0,25,matched,Bacteria,99,22.1,21.28,0.047
Sphaerochaetaceae,2791015,206,995,0.08,0.09,439,26,0.01,0.03,0,0,26,0,26,matched,Bacteria,10,2.28,7.923,0.126
Elusimicrobiaceae,641876,28,92,0.01,0.01,437,34,0.01,0.03,0,0,34,0,34,matched,Bacteria,5,1.14,0.824,1.214
Syntrophomonadaceae,68298,343,890,0.14,0.08,436,62,0.01,0.06,0,0,62,0,62,matched,Bacteria,19,4.36,5.532,0.181
Zoogloeaceae,2008794,248,950,0.1,0.08,425,87,0.01,0.08,0,0,87,0,87,matched,Bacteria,103,24.24,2.851,0.351
Geobacterales.U.family,3031668,1,1,0.0,0.0,419,84,0.01,0.08,0,0,84,0,84,matched,Bacteria,72,17.18,0.012,84.0
Brachyspiraceae,143786,24,90,0.01,0.01,412,18,0.01,0.02,0,0,18,0,18,matched,Bacteria,253,61.41,1.333,0.75
Brachyspirales.U.family,1643686,32,77,0.01,0.01,412,18,0.01,0.02,0,0,18,0,18,matched,Bacteria,253,61.41,1.778,0.562
Schleiferiaceae,1333713,83,198,0.03,0.02,411,5,0.01,0.0,0,0,5,0,5,matched,Bacteria,93,22.63,16.6,0.06
Alcanivoracaceae,224372,190,1091,0.08,0.1,410,104,0.01,0.1,0,0,104,0,104,matched,Bacteria,81,19.76,1.827,0.547
Geobacteraceae,213422,415,1893,0.17,0.17,409,83,0.01,0.08,0,0,83,0,83,matched,Bacteria,72,17.6,5.0,0.2
Aphanizomenonaceae,1892259,39,662,0.02,0.06,403,78,0.01,0.08,0,0,78,0,78,matched,Bacteria,116,28.78,0.5,2.0
Leptotrichiaceae,1129771,289,999,0.12,0.09,400,49,0.01,0.05,0,0,49,0,49,matched,Bacteria,98,24.5,5.898,0.17
Azospirillaceae,2829815,210,1213,0.09,0.11,400,103,0.01,0.1,0,0,103,0,103,matched,Bacteria,201,50.25,2.039,0.49
Methanotrichaceae,143067,246,1914,0.1,0.17,400,37,0.01,0.04,0,0,37,0,37,matched,Archaea,5,1.25,6.649,0.15
Hymenobacteraceae,1853232,426,1501,0.17,0.13,398,251,0.01,0.24,0,0,251,0,251,matched,Bacteria,299,75.13,1.697,0.589
Brevibacteriaceae,85019,83,389,0.03,0.03,393,110,0.01,0.11,0,0,110,0,110,matched,Bacteria,238,60.56,0.755,1.325
Beijerinckiaceae,45404,351,1602,0.14,0.14,392,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,30,7.65,10.969,0.091
Sulfolobaceae,118883,87,481,0.04,0.04,392,66,0.01,0.06,0,0,66,0,66,matched,Archaea,175,44.64,1.318,0.759
Phycisphaeraceae,666507,1258,5650,0.51,0.5,390,21,0.01,0.02,0,0,21,0,21,matched,Bacteria,9,2.31,59.905,0.017
Devosiaceae,2831106,251,1166,0.1,0.1,380,132,0.01,0.13,0,0,132,0,132,matched,Bacteria,128,33.68,1.902,0.526
Ktedonobacteria.U.family,388447,409,945,0.17,0.08,378,39,0.01,0.04,0,0,39,0,39,matched,Bacteria,22,5.82,10.487,0.095
Syntrophaceae,213468,154,703,0.06,0.06,375,64,0.01,0.06,0,0,64,0,64,matched,Bacteria,3,0.8,2.406,0.416
Calditrichota.U.family,1930617,56,179,0.02,0.02,372,16,0.01,0.02,0,0,16,0,16,matched,Bacteria,32,8.6,3.5,0.286
Gordoniaceae,85026,54,316,0.02,0.03,370,151,0.01,0.15,0,0,151,0,151,matched,Bacteria,307,82.97,0.358,2.796
Holophagaceae,574976,160,1112,0.07,0.1,370,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,21,5.68,5.0,0.2
Chloroflexales.U.family,32064,9,22,0.0,0.0,369,40,0.01,0.04,0,0,40,0,40,matched,Bacteria,18,4.88,0.225,4.444
Cytophagaceae,89373,317,925,0.13,0.08,367,95,0.01,0.09,0,0,95,0,95,matched,Bacteria,83,22.62,3.337,0.3
Spirosomaceae,89373,346,2439,0.14,0.22,367,95,0.01,0.09,0,0,95,0,95,matched,Bacteria,83,22.62,3.642,0.275
Thermaceae,188786,146,1140,0.06,0.1,365,63,0.01,0.06,0,0,63,0,63,matched,Bacteria,179,49.04,2.317,0.432
Cellulomonadaceae,85016,99,1055,0.04,0.09,364,165,0.01,0.16,0,0,165,0,165,matched,Bacteria,249,68.41,0.6,1.667
Thiotrichaceae,135617,461,1730,0.19,0.15,359,73,0.01,0.07,0,0,73,0,73,matched,Bacteria,53,14.76,6.315,0.158
Stappiaceae,2821832,81,389,0.03,0.03,358,136,0.01,0.13,0,0,136,0,136,matched,Bacteria,179,50.0,0.596,1.679
Breoghaniaceae,2821832,7,13,0.0,0.0,358,136,0.01,0.13,0,0,136,0,136,matched,Bacteria,179,50.0,0.051,19.429
Caldilineaceae,475964,386,1342,0.16,0.12,357,24,0.01,0.02,0,0,24,0,24,matched,Bacteria,4,1.12,16.083,0.062
Ktedonobacterales.U.family,388448,256,777,0.1,0.07,354,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,17,4.8,8.0,0.125
Cellvibrionaceae,1706371,244,848,0.1,0.08,352,109,0.01,0.11,0,0,109,0,109,matched,Bacteria,123,34.94,2.239,0.447
Aquificaceae,64898,72,511,0.03,0.05,352,35,0.01,0.03,0,0,35,0,35,matched,Bacteria,21,5.97,2.057,0.486
Thermotogales.U.family,2419,4,52,0.0,0.0,350,72,0.01,0.07,0,0,72,0,72,matched,Bacteria,76,21.71,0.056,18.0
Bacteriovoracaceae,263369,445,1603,0.18,0.14,348,43,0.01,0.04,0,0,43,0,43,matched,Bacteria,16,4.6,10.349,0.097
Myxococcaceae,31,465,1752,0.19,0.16,348,109,0.01,0.11,0,0,109,0,109,matched,Bacteria,160,45.98,4.266,0.234
Acidithiobacillales.U.family,225057,3,14,0.0,0.0,348,46,0.01,0.04,0,0,46,0,46,matched,Bacteria,143,41.09,0.065,15.333
Acidithiobacillaceae,225058,137,457,0.06,0.04,341,40,0.01,0.04,0,0,40,0,40,matched,Bacteria,140,41.06,3.425,0.292
Puniceicoccales.U.family,415001,9,22,0.0,0.0,338,49,0.01,0.05,0,0,49,0,49,matched,Bacteria,37,10.95,0.184,5.444
Orbaceae,1240483,31,108,0.01,0.01,326,170,0.01,0.17,0,0,170,0,170,matched,Bacteria,239,73.31,0.182,5.484
Syntrophobacterales.U.family,213462,55,395,0.02,0.03,325,39,0.01,0.04,0,0,39,0,39,matched,Bacteria,11,3.38,1.41,0.709
Geodermatophilaceae,85030,105,721,0.04,0.06,324,197,0.01,0.19,0,0,197,0,197,matched,Bacteria,228,70.37,0.533,1.876
Methanocorpusculaceae,88404,25,149,0.01,0.01,324,23,0.01,0.02,0,0,23,0,23,matched,Archaea,9,2.78,1.087,0.92
Dermabacteraceae,85020,69,440,0.03,0.04,321,109,0.01,0.11,0,0,109,0,109,matched,Bacteria,225,70.09,0.633,1.58
Colwelliaceae,267889,264,914,0.11,0.08,318,151,0.01,0.15,0,0,151,0,151,matched,Bacteria,164,51.57,1.748,0.572
Cryomorphaceae,246874,324,2904,0.13,0.26,317,25,0.01,0.02,0,0,25,0,25,matched,Bacteria,4,1.26,12.96,0.077
Thermoleophilaceae,320796,4,20,0.0,0.0,316,4,0.01,0.0,0,0,4,0,4,matched,Bacteria,2,0.63,1.0,1.0
Thermomicrobia.U.family,3027942,1,6,0.0,0.0,314,20,0.01,0.02,0,0,20,0,20,matched,Bacteria,7,2.23,0.05,20.0
Archaeoglobaceae,2232,66,307,0.03,0.03,314,41,0.01,0.04,0,0,41,0,41,matched,Archaea,12,3.82,1.61,0.621
Thermococci.U.family,183968,298,1319,0.12,0.12,312,86,0.01,0.08,0,0,86,0,86,matched,Archaea,109,34.94,3.465,0.289
Atribacterota.U.family,67818,215,1295,0.09,0.11,310,63,0.01,0.06,0,0,63,0,63,matched,Bacteria,27,8.71,3.413,0.293
Gemmataceae,1914233,1447,3701,0.59,0.33,309,26,0.01,0.03,0,0,26,0,26,matched,Bacteria,20,6.47,55.654,0.018
Promicromonosporaceae,85017,78,343,0.03,0.03,308,141,0.01,0.14,0,0,141,0,141,matched,Bacteria,235,76.3,0.553,1.808
Thiobacillaceae,2008790,140,675,0.06,0.06,308,32,0.01,0.03,0,0,32,0,32,matched,Bacteria,9,2.92,4.375,0.229
Chthoniobacteraceae,1836792,791,4749,0.32,0.42,308,8,0.01,0.01,0,0,8,0,8,matched,Bacteria,3,0.97,98.875,0.01
Methanomicrobiaceae,2194,161,851,0.07,0.08,304,85,0.01,0.08,0,0,85,0,85,matched,Archaea,62,20.39,1.894,0.528
Nitrospinaceae,407032,271,1284,0.11,0.11,302,22,0.01,0.02,0,0,22,0,22,matched,Bacteria,15,4.97,12.318,0.081
Zetaproteobacteria.U.family,580370,3,16,0.0,0.0,285,46,0.01,0.04,0,0,46,0,46,matched,Bacteria,17,5.96,0.065,15.333
Smithellaceae,2964538,89,687,0.04,0.06,280,16,0.01,0.02,0,0,16,0,16,matched,Bacteria,4,1.43,5.562,0.18
Azonexaceae,2008795,105,580,0.04,0.05,279,35,0.01,0.03,0,0,35,0,35,matched,Bacteria,35,12.54,3.0,0.333
Deinococcaceae,183710,193,561,0.08,0.05,278,137,0.01,0.13,0,0,137,0,137,matched,Bacteria,211,75.9,1.409,0.71
Thermomonosporaceae,2012,137,579,0.06,0.05,277,190,0.01,0.19,0,0,190,0,190,matched,Bacteria,253,91.34,0.721,1.387
Leptolyngbyaceae,1890438,359,1192,0.15,0.11,271,161,0.01,0.16,0,0,161,0,161,matched,Bacteria,89,32.84,2.23,0.448
Nocardiopsaceae,83676,110,439,0.04,0.04,271,136,0.01,0.13,0,0,136,0,136,matched,Bacteria,241,88.93,0.809,1.236
Idiomarinaceae,267893,111,444,0.05,0.04,270,102,0.01,0.1,0,0,102,0,102,matched,Bacteria,133,49.26,1.088,0.919
Parvibaculaceae,2813035,89,518,0.04,0.05,269,22,0.01,0.02,0,0,22,0,22,matched,Bacteria,16,5.95,4.045,0.247
Pseudanabaenaceae,1890436,89,614,0.04,0.05,265,95,0.01,0.09,0,0,95,0,95,matched,Bacteria,36,13.58,0.937,1.067
Thermomicrobiales.U.family,189776,453,1637,0.18,0.14,264,10,0.01,0.01,0,0,10,0,10,matched,Bacteria,4,1.52,45.3,0.022
Isosphaeraceae,1763524,492,2150,0.2,0.19,261,27,0.01,0.03,0,0,27,0,27,matched,Bacteria,24,9.2,18.222,0.055
Halanaerobiales.U.family,53433,3,3,0.0,0.0,260,56,0.01,0.05,0,0,56,0,56,matched,Bacteria,58,22.31,0.054,18.667
Melioribacteraceae,1334117,3,5,0.0,0.0,260,21,0.01,0.02,0,0,21,0,21,matched,Bacteria,15,5.77,0.143,7.0
Thermococcaceae,2259,48,369,0.02,0.03,258,83,0.01,0.08,0,0,83,0,83,matched,Archaea,101,39.15,0.578,1.729
