family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Fringillidae,0,0,0.0,0.0,88,46,88,0.18,0.22,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euphorbiaceae,0,0,0.0,0.0,81,46,81,0.16,0.22,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saccharomycopsidaceae,0,0,0.0,0.0,80,28,78,0.16,0.14,97.5,,,0,0,0,ncbi_only,Eukaryota,0.0
Entrophosporaceae,0,0,0.0,0.0,79,2,79,0.16,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Myrtaceae,0,0,0.0,0.0,78,62,78,0.16,0.3,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Wickerhamomycetaceae,0,0,0.0,0.0,78,45,78,0.16,0.22,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lamiaceae,0,0,0.0,0.0,75,47,75,0.15,0.23,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saccharomycodaceae,0,0,0.0,0.0,75,23,72,0.15,0.11,96.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Discinaceae,0,0,0.0,0.0,73,48,73,0.15,0.23,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chlorellaceae,0,0,0.0,0.0,70,34,68,0.14,0.17,97.14,,,0,0,0,ncbi_only,Eukaryota,0.0
Pucciniaceae,0,0,0.0,0.0,68,14,68,0.14,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Philodinidae,0,0,0.0,0.0,66,8,50,0.13,0.04,75.76,,,0,0,0,ncbi_only,Eukaryota,0.0
Falconidae,0,0,0.0,0.0,66,37,66,0.13,0.18,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Oleaceae,0,0,0.0,0.0,65,40,65,0.13,0.19,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Orbiliaceae,0,0,0.0,0.0,65,30,65,0.13,0.15,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dipodascaceae,0,0,0.0,0.0,64,32,52,0.13,0.16,81.25,,,0,0,0,ncbi_only,Eukaryota,0.0
Erythroxylaceae,0,0,0.0,0.0,64,63,64,0.13,0.31,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Microbotryaceae,0,0,0.0,0.0,60,7,60,0.12,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Salicaceae,0,0,0.0,0.0,60,28,60,0.12,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cyperaceae,0,0,0.0,0.0,58,36,58,0.12,0.17,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ericaceae,0,0,0.0,0.0,56,36,56,0.11,0.17,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scolopacidae,0,0,0.0,0.0,56,44,56,0.11,0.21,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Fagaceae,0,0,0.0,0.0,56,33,56,0.11,0.16,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mucoraceae,0,0,0.0,0.0,56,28,55,0.11,0.14,98.21,,,0,0,0,ncbi_only,Eukaryota,0.0
Plasmodiophoridae,0,0,0.0,0.0,54,3,54,0.11,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Plantaginaceae,0,0,0.0,0.0,53,39,53,0.11,0.19,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Strigidae,0,0,0.0,0.0,49,37,49,0.1,0.18,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Wallemiaceae,0,0,0.0,0.0,49,3,49,0.1,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ophryoscolecidae,0,0,0.0,0.0,48,14,48,0.1,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Onchocercidae,0,0,0.0,0.0,47,23,47,0.09,0.11,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rubiaceae,0,0,0.0,0.0,46,29,46,0.09,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mamiellaceae,0,0,0.0,0.0,45,16,4,0.09,0.08,8.89,,,0,0,0,ncbi_only,Eukaryota,0.0
Trebouxiaceae,0,0,0.0,0.0,43,18,19,0.09,0.09,44.19,,,0,0,0,ncbi_only,Eukaryota,0.0
Juglandaceae,0,0,0.0,0.0,43,17,43,0.09,0.08,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mytilidae,0,0,0.0,0.0,43,20,43,0.09,0.1,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spheniscidae,0,0,0.0,0.0,39,20,35,0.08,0.1,89.74,,,0,0,0,ncbi_only,Eukaryota,0.0
Passerellidae,0,0,0.0,0.0,38,18,38,0.08,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Entomobryidae,0,0,0.0,0.0,38,35,38,0.08,0.17,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Morchellaceae,0,0,0.0,0.0,37,25,37,0.07,0.12,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pinaceae,0,0,0.0,0.0,36,15,36,0.07,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geraniaceae,0,0,0.0,0.0,35,29,35,0.07,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Linaceae,0,0,0.0,0.0,35,5,35,0.07,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meloidogynidae,0,0,0.0,0.0,34,11,34,0.07,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Caryophyllaceae,0,0,0.0,0.0,34,22,34,0.07,0.11,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Muscicapidae,0,0,0.0,0.0,33,31,33,0.07,0.15,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heteroderidae,0,0,0.0,0.0,33,12,33,0.07,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sylviidae,0,0,0.0,0.0,33,25,33,0.07,0.12,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Panagrolaimidae,0,0,0.0,0.0,32,18,32,0.06,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Emydidae,0,0,0.0,0.0,32,14,32,0.06,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chlamydomonadaceae,0,0,0.0,0.0,31,20,29,0.06,0.1,93.55,,,0,0,0,ncbi_only,Eukaryota,0.0
Theaceae,0,0,0.0,0.0,31,8,31,0.06,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Laridae,0,0,0.0,0.0,30,20,30,0.06,0.1,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Estrildidae,0,0,0.0,0.0,30,6,30,0.06,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ostreidae,0,0,0.0,0.0,30,14,18,0.06,0.07,60.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Orchidaceae,0,0,0.0,0.0,29,23,29,0.06,0.11,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lichtheimiaceae,0,0,0.0,0.0,29,14,29,0.06,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Isotomidae,0,0,0.0,0.0,29,25,29,0.06,0.12,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tyrannidae,0,0,0.0,0.0,28,28,28,0.06,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichinellidae,0,0,0.0,0.0,28,13,28,0.06,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alcedinidae,0,0,0.0,0.0,28,27,28,0.06,0.13,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Musaceae,0,0,0.0,0.0,27,13,27,0.05,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Polygonaceae,0,0,0.0,0.0,27,15,27,0.05,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Apiaceae,0,0,0.0,0.0,26,18,26,0.05,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
