genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Monticola,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mora,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nomia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nymphidium,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Muscidifurax,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Myanophis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycalesis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycetophylax,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycetosoritis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mychonastes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycocalia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycocalicium,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycodrosophila,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycoemilia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycogone,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycosphaerelloides,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mycotypha,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Myiagra,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Niconiades,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Niebla,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nigrograna,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nilgiritragus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nipponacmea,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nissolia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notholithocarpus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nothapodytes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notamblyscirtes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nosphistia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Noronhia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neuroscelio,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Norana,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nodopelta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Noctilio,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nixonia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nuphar,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nuttallia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nyctanthes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nyctereutes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nycticeius,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nycticorax,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nycticryphes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nyctiprogne,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nyleta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nucella,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nothura,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nothophoma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nothomitra,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nevesoporus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nicephellus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nicola,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neodrepanis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neltuma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neurobasis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neverita,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notocrypta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notodromas,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notospermus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notropis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Noturus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Novacerus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Novakomyces,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Novius,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Novumbra,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Novymonas,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Notiomystis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nucifraga,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neocatenulostroma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoceratitis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoceratodus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neocloeon,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neolentinus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neolecta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neohortaea,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neogobius,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neogeoscapheus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Netuma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neodontobutis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neodidymelliopsis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neocucurbitaria,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neocossyphus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoconidiobolus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoclytus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nesometra,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nesospiza,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nestor,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neomorphus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neomonachus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neomicropteryx,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nelusetta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nemasoma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nematoplana,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nemopilema,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoagarum,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoaliturus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoascochyta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neobulgaria,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neocamarosporium,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neocaridina,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neospermospora,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neotoma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neotoxoptera,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neotropicomus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neonothopanus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoturris,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nephelium,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nephila,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nephotettix,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nephroma,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neptis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nereis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nereocystis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nerodia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nerula,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nesogale,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanochromis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanelia,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meghimatium,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megaustenia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Monocercomonoides,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Monolepta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Monoplex,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neopelma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neophascogale,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neophema,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neophron,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neopipo,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoponera,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neopsephotus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neoscelio,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megalomyrmex,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megalonaias,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megalopta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megalothorax,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meganyctiphanes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megaphragma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megaphyllum,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megaponera,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megatriorchis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanonus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanomma,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanoides,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanohalea,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanogaster,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanodothis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meda,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesembrinibis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesembryanthemum,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesitornis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesocestoides,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesochordaeus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesochorus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesoclemmys,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Menopon,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanopsichium,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Medauroidea,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mediaster,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mediolabrus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megadyptes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megaleporinus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megalocaria,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melipotes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melissotarsus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mellilla,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mellivora,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melocanna,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meloe,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melogona,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melophagus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melozone,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melianthus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mengenilla,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Menura,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meranoplus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Merlangius,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mermis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Meruliopsis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mallocybe,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mallomonas,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Malpolon,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mandevilla,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Manica,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mantamonas,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mantis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Margarornis,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Margaritispora,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marasmiellus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marasmia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Monocentris,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Medakamo,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melidectes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melikaiella,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melilestes,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marronus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marsdenia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marssonina,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marteilia,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Martensiomyces,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Masnerella,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Massarina,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Marisa,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Massariosphaeria,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mastigoproctus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mastocarpus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Matsumurasca,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Maxillicosta,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mayamaea,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mchenga,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mallateleia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Milvago,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimaenictus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimoides,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Minona,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Minois,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesosemia,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ministeria,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimumesa,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimulus,0,0,0.0,0.0,1,1,1,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
