genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Botryococcus,5,8,0.01,0.0,3,1,3,0.01,0.0,100.0,5.0,0.2,1,0,1,matched,Eukaryota,0.0
Phaeodactylum,15,37,0.02,0.01,3,1,3,0.01,0.0,100.0,15.0,0.067,1,0,1,matched,Eukaryota,0.0
Mastigamoeba,1609,10879,2.27,2.71,2,1,2,0.0,0.0,100.0,1609.0,0.001,1,0,1,matched,Eukaryota,0.0
Stylonychia,800,7715,1.13,1.92,2,1,2,0.0,0.0,100.0,800.0,0.001,1,0,1,matched,Eukaryota,0.0
Trichocladium,25,579,0.04,0.14,2,2,2,0.0,0.01,100.0,12.5,0.08,1,0,1,matched,Eukaryota,0.0
Ustanciosporium,69,166,0.1,0.04,2,1,2,0.0,0.0,100.0,69.0,0.014,1,0,1,matched,Eukaryota,0.0
Vannella,56,94,0.08,0.02,2,1,0,0.0,0.0,0.0,56.0,0.018,1,0,1,matched,Eukaryota,0.0
Limulus,36,122,0.05,0.03,2,1,2,0.0,0.0,100.0,36.0,0.028,1,0,1,matched,Eukaryota,0.0
Spizellomyces,52,167,0.07,0.04,2,2,2,0.0,0.01,100.0,26.0,0.038,1,0,1,matched,Eukaryota,0.0
Paulinella,17,24,0.02,0.01,2,1,2,0.0,0.0,100.0,17.0,0.059,1,0,1,matched,Eukaryota,0.0
Mayetiola,2,11,0.0,0.0,2,1,2,0.0,0.0,100.0,2.0,0.5,1,0,1,matched,Eukaryota,0.0
Saprolegnia,5,126,0.01,0.03,2,2,2,0.0,0.01,100.0,2.5,0.4,1,0,1,matched,Eukaryota,0.0
Panellus,2,3,0.0,0.0,2,2,2,0.0,0.01,100.0,1.0,1.0,1,0,1,matched,Eukaryota,0.0
Hyphodiscus,1,1,0.0,0.0,2,2,2,0.0,0.01,100.0,0.5,2.0,1,0,1,matched,Eukaryota,0.0
Lecidea,3,9,0.0,0.0,2,2,0,0.0,0.01,0.0,1.5,0.667,1,0,1,matched,Eukaryota,0.0
Spumella,12,14,0.02,0.0,2,2,2,0.0,0.01,100.0,6.0,0.167,1,0,1,matched,Eukaryota,0.0
Philaenus,5,7,0.01,0.0,2,1,2,0.0,0.0,100.0,5.0,0.2,1,0,1,matched,Eukaryota,0.0
Paramoeba,20,31,0.03,0.01,1,1,1,0.0,0.0,100.0,20.0,0.05,1,0,1,matched,Eukaryota,0.0
